# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    7.64e+01  7.57e+01    7.83e+00  7.83e+00    2.41e+00  2.39e+00    1.0e-03
   1000    2.53e+00  1.86e+00    3.22e-02  3.19e-02    9.10e-02  6.68e-02    7.7e-04
   2000    1.72e+00  1.68e+00    1.71e-02  1.65e-02    7.02e-02  6.86e-02    6.0e-04
   3000    1.61e+00  1.80e+00    6.08e-02  6.02e-02    7.46e-02  8.32e-02    4.6e-04
   4000    8.04e-01  7.34e-01    1.93e-02  1.94e-02    4.24e-02  3.87e-02    3.6e-04
   5000    7.29e-01  6.48e-01    1.88e-03  1.54e-03    4.37e-02  3.88e-02    2.8e-04
   6000    4.33e-01  3.48e-01    2.39e-03  2.47e-03    2.95e-02  2.37e-02    2.1e-04
   7000    2.92e-01  2.78e-01    3.55e-03  3.71e-03    2.26e-02  2.15e-02    1.7e-04
   8000    2.12e-01  1.65e-01    2.82e-03  2.85e-03    1.86e-02  1.45e-02    1.3e-04
   9000    1.74e-01  1.36e-01    1.34e-03  1.34e-03    1.73e-02  1.36e-02    9.9e-05
  10000    1.34e-01  1.17e-01    1.44e-03  1.37e-03    1.52e-02  1.32e-02    7.7e-05
  11000    1.11e-01  9.99e-02    4.97e-04  5.19e-04    1.42e-02  1.28e-02    6.0e-05
  12000    9.46e-02  8.32e-02    9.43e-05  1.06e-04    1.38e-02  1.21e-02    4.6e-05
  13000    8.04e-02  6.67e-02    1.77e-03  1.75e-03    1.32e-02  1.10e-02    3.6e-05
  14000    6.62e-02  5.20e-02    7.46e-04  8.02e-04    1.24e-02  9.72e-03    2.8e-05
  15000    5.73e-02  4.37e-02    1.82e-04  1.02e-04    1.21e-02  9.25e-03    2.1e-05
  16000    4.99e-02  3.31e-02    9.23e-04  8.60e-04    1.19e-02  7.88e-03    1.7e-05
  17000    4.50e-02  4.28e-02    1.76e-03  1.84e-03    1.20e-02  1.14e-02    1.3e-05
  18000    3.80e-02  3.24e-02    1.06e-03  1.12e-03    1.15e-02  9.78e-03    9.9e-06
  19000    3.39e-02  2.76e-02    6.77e-04  7.11e-04    1.15e-02  9.36e-03    7.7e-06
  20000    2.95e-02  2.68e-02    1.19e-03  1.24e-03    1.11e-02  1.01e-02    5.9e-06
  21000    2.68e-02  2.29e-02    6.66e-04  7.25e-04    1.13e-02  9.64e-03    4.6e-06
  22000    2.42e-02  2.13e-02    1.09e-03  1.15e-03    1.13e-02  9.84e-03    3.5e-06
  23000    2.09e-02  1.92e-02    3.24e-04  2.90e-04    1.08e-02  9.90e-03    2.7e-06
  24000    1.90e-02  1.79e-02    1.35e-04  8.99e-05    1.07e-02  1.01e-02    2.1e-06
  25000    1.76e-02  1.97e-02    2.89e-04  2.42e-04    1.08e-02  1.21e-02    1.6e-06
  26000    1.61e-02  1.73e-02    1.20e-04  7.29e-05    1.07e-02  1.15e-02    1.3e-06
  27000    1.50e-02  1.02e-02    4.41e-04  4.19e-04    1.06e-02  7.17e-03    9.8e-07
  28000    1.41e-02  1.32e-02    1.72e-04  1.76e-04    1.06e-02  9.97e-03    7.6e-07
  29000    1.34e-02  1.13e-02    1.39e-04  6.41e-05    1.06e-02  8.97e-03    5.9e-07
  30000    1.28e-02  8.96e-03    2.28e-04  1.51e-04    1.06e-02  7.42e-03    4.6e-07
  31000    1.23e-02  1.08e-02    2.82e-04  2.36e-04    1.05e-02  9.22e-03    3.5e-07
  32000    1.19e-02  9.93e-03    2.22e-04  2.47e-04    1.06e-02  8.77e-03    2.7e-07
  33000    1.16e-02  1.05e-02    1.32e-04  1.88e-04    1.06e-02  9.52e-03    2.1e-07
  34000    1.14e-02  1.03e-02    1.01e-04  8.76e-05    1.05e-02  9.56e-03    1.6e-07
  35000    1.12e-02  1.08e-02    1.24e-04  7.73e-05    1.05e-02  1.02e-02    1.3e-07
  36000    1.10e-02  1.09e-02    7.34e-05  8.95e-05    1.05e-02  1.04e-02    9.8e-08
  37000    1.09e-02  1.11e-02    2.54e-04  2.31e-04    1.05e-02  1.07e-02    7.6e-08
  38000    1.08e-02  1.17e-02    1.56e-04  1.14e-04    1.05e-02  1.13e-02    5.9e-08
  39000    1.07e-02  7.92e-03    7.69e-05  6.06e-05    1.05e-02  7.74e-03    4.5e-08
  40000    1.07e-02  9.93e-03    7.73e-05  9.79e-05    1.05e-02  9.76e-03    3.5e-08
