# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    7.82e+01  7.94e+01    5.53e+00  5.52e+00    2.47e+00  2.51e+00    1.0e-03
   1000    2.12e+00  1.63e+00    1.37e-02  1.41e-02    7.62e-02  5.85e-02    7.7e-04
   2000    1.48e+00  1.39e+00    1.93e-02  1.93e-02    6.04e-02  5.68e-02    6.0e-04
   3000    1.26e+00  1.17e+00    1.82e-02  1.84e-02    5.83e-02  5.41e-02    4.6e-04
   4000    7.42e-01  5.71e-01    3.73e-02  3.72e-02    3.88e-02  2.97e-02    3.6e-04
   5000    4.05e-01  3.64e-01    1.10e-02  1.10e-02    2.42e-02  2.17e-02    2.8e-04
   6000    3.56e-01  3.07e-01    2.93e-03  2.87e-03    2.43e-02  2.09e-02    2.1e-04
   7000    2.12e-01  2.34e-01    1.82e-03  1.87e-03    1.64e-02  1.81e-02    1.7e-04
   8000    1.72e-01  2.10e-01    1.38e-02  1.37e-02    1.47e-02  1.81e-02    1.3e-04
   9000    1.40e-01  1.19e-01    3.74e-03  3.78e-03    1.39e-02  1.18e-02    9.9e-05
  10000    1.25e-01  1.48e-01    7.73e-03  7.74e-03    1.39e-02  1.65e-02    7.7e-05
  11000    1.05e-01  1.47e-01    3.02e-03  3.01e-03    1.34e-02  1.89e-02    6.0e-05
  12000    9.21e-02  9.96e-02    3.13e-03  3.10e-03    1.34e-02  1.45e-02    4.6e-05
  13000    8.14e-02  7.52e-02    4.47e-04  5.10e-04    1.34e-02  1.24e-02    3.6e-05
  14000    6.79e-02  6.57e-02    2.57e-04  2.61e-04    1.27e-02  1.23e-02    2.8e-05
  15000    5.77e-02  6.42e-02    8.46e-04  8.98e-04    1.22e-02  1.36e-02    2.1e-05
  16000    5.16e-02  6.06e-02    4.37e-04  3.45e-04    1.23e-02  1.45e-02    1.7e-05
  17000    4.57e-02  5.07e-02    2.06e-03  2.06e-03    1.22e-02  1.36e-02    1.3e-05
  18000    4.02e-02  4.48e-02    4.65e-04  4.70e-04    1.22e-02  1.36e-02    9.9e-06
  19000    3.57e-02  4.18e-02    3.26e-04  3.16e-04    1.21e-02  1.42e-02    7.7e-06
  20000    3.11e-02  3.84e-02    7.84e-04  7.86e-04    1.18e-02  1.46e-02    5.9e-06
  21000    2.85e-02  3.75e-02    8.52e-04  8.80e-04    1.20e-02  1.58e-02    4.6e-06
  22000    2.60e-02  2.13e-02    2.74e-04  2.33e-04    1.22e-02  9.98e-03    3.5e-06
  23000    2.25e-02  2.91e-02    1.17e-04  9.29e-05    1.16e-02  1.50e-02    2.7e-06
  24000    2.11e-02  2.53e-02    2.62e-04  2.57e-04    1.19e-02  1.43e-02    2.1e-06
  25000    1.88e-02  1.66e-02    5.46e-05  4.41e-05    1.16e-02  1.02e-02    1.6e-06
  26000    1.74e-02  2.14e-02    1.77e-04  2.17e-04    1.16e-02  1.42e-02    1.3e-06
  27000    1.63e-02  2.00e-02    1.57e-04  1.57e-04    1.16e-02  1.42e-02    9.8e-07
  28000    1.54e-02  1.93e-02    9.32e-05  1.41e-04    1.16e-02  1.46e-02    7.6e-07
  29000    1.45e-02  1.72e-02    1.21e-04  1.08e-04    1.15e-02  1.37e-02    5.9e-07
  30000    1.39e-02  1.50e-02    2.16e-04  2.26e-04    1.15e-02  1.25e-02    4.6e-07
  31000    1.34e-02  1.09e-02    7.93e-05  5.63e-05    1.15e-02  9.41e-03    3.5e-07
  32000    1.30e-02  1.49e-02    1.02e-04  1.25e-04    1.15e-02  1.32e-02    2.7e-07
  33000    1.27e-02  1.34e-02    1.03e-04  1.22e-04    1.15e-02  1.22e-02    2.1e-07
  34000    1.24e-02  1.57e-02    5.62e-05  9.28e-05    1.15e-02  1.46e-02    1.6e-07
  35000    1.23e-02  1.16e-02    1.09e-04  7.25e-05    1.16e-02  1.09e-02    1.3e-07
  36000    1.21e-02  1.40e-02    6.74e-05  9.78e-05    1.15e-02  1.34e-02    9.8e-08
  37000    1.19e-02  1.20e-02    6.88e-05  8.45e-05    1.15e-02  1.16e-02    7.6e-08
  38000    1.19e-02  1.32e-02    6.51e-05  9.78e-05    1.15e-02  1.28e-02    5.9e-08
  39000    1.18e-02  1.41e-02    7.65e-05  1.06e-04    1.15e-02  1.38e-02    4.5e-08
  40000    1.17e-02  1.11e-02    7.28e-05  6.55e-05    1.15e-02  1.09e-02    3.5e-08
