#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       3.384538e+00       8.316130e-01       1.353908e+00       1.459507e-02       1.014983e-02       1.226360e-02
          10       3.388848e+00       8.287476e-01       1.355692e+00       1.480111e-02       1.009254e-02       1.254034e-02
          20       3.415161e+00       8.287201e-01       1.366351e+00       2.067107e-02       1.283200e-02       1.657376e-02
          30       3.455831e+00       8.390869e-01       1.382589e+00       1.131713e-02       6.387092e-03       9.571361e-03
          40       3.489366e+00       8.485455e-01       1.395985e+00       2.351520e-02       1.006509e-02       1.669097e-02
          50       3.512053e+00       8.499743e-01       1.405252e+00       1.403066e-02       7.355775e-03       1.043779e-02
          60       3.507733e+00       8.410956e-01       1.403855e+00       2.903127e-02       2.002710e-02       2.433194e-02
          70       3.476660e+00       8.318529e-01       1.391423e+00       1.289668e-02       6.214025e-03       1.005044e-02
          80       3.426702e+00       8.257037e-01       1.371233e+00       2.120349e-02       1.238928e-02       1.655542e-02
          90       3.389824e+00       8.183117e-01       1.356551e+00       2.626856e-02       1.787793e-02       2.355190e-02
         100       3.374024e+00       8.004084e-01       1.350519e+00       2.274629e-02       1.958842e-02       2.133169e-02
         110       3.379634e+00       7.948915e-01       1.353049e+00       4.720166e-02       8.713108e-03       2.613832e-02
         120       3.429811e+00       8.146214e-01       1.372793e+00       1.049338e-02       7.506961e-03       9.124634e-03
         130       3.481484e+00       8.261195e-01       1.394029e+00       7.078057e-02       2.293844e-02       4.325642e-02
         140       3.518896e+00       8.265563e-01       1.409271e+00       5.123372e-02       1.166007e-02       2.931965e-02
         150       3.497228e+00       8.074574e-01       1.400909e+00       7.891021e-02       1.863972e-02       4.123117e-02
         160       3.449274e+00       8.096661e-01       1.381021e+00       1.363808e-02       6.817056e-03       9.367037e-03
         170       3.398796e+00       8.170135e-01       1.360187e+00       2.504117e-02       1.288658e-02       1.973302e-02
         180       3.374303e+00       8.131574e-01       1.350453e+00       3.037236e-02       2.064322e-02       2.632559e-02
         190       3.381998e+00       8.050489e-01       1.353535e+00       1.454457e-02       9.011722e-03       1.169592e-02
         200       3.412245e+00       8.084592e-01       1.365672e+00       1.911306e-02       8.379658e-03       1.371202e-02
         210       3.459390e+00       8.332894e-01       1.384343e+00       1.480012e-02       5.858783e-03       1.266672e-02
         220       3.492813e+00       8.467154e-01       1.397587e+00       2.743950e-02       1.346107e-02       1.917268e-02
         230       3.507738e+00       8.484751e-01       1.403431e+00       1.070272e-02       4.753082e-03       7.418423e-03
         240       3.501236e+00       8.406740e-01       1.400896e+00       2.124171e-02       9.577829e-03       1.257357e-02
         250       3.474955e+00       8.422169e-01       1.390291e+00       1.230362e-02       8.421517e-03       1.045453e-02
         260       3.437374e+00       8.419556e-01       1.375066e+00       1.047789e-02       7.368635e-03       8.623622e-03
         270       3.405825e+00       8.368948e-01       1.362440e+00       1.455906e-02       9.560228e-03       1.254830e-02
         280       3.393768e+00       8.262340e-01       1.357654e+00       8.743917e-03       7.648012e-03       8.268873e-03
         290       3.401164e+00       8.207914e-01       1.360792e+00       2.110354e-02       1.019260e-02       1.547886e-02
         300       3.430697e+00       8.331430e-01       1.372578e+00       1.265069e-02       7.716809e-03       1.153217e-02
         310       3.462254e+00       8.439480e-01       1.385139e+00       1.706959e-02       8.810608e-03       1.125967e-02
         320       3.494598e+00       8.448171e-01       1.398127e+00       1.011765e-02       4.697974e-03       8.375918e-03
         330       3.512745e+00       8.452261e-01       1.405512e+00       2.828015e-02       1.671355e-02       1.974905e-02
         340       3.500128e+00       8.444859e-01       1.400330e+00       1.547104e-02       6.206086e-03       9.538319e-03
         350       3.460299e+00       8.417424e-01       1.384265e+00       1.017550e-02       6.677673e-03       8.750489e-03
         360       3.415091e+00       8.388764e-01       1.366274e+00       2.901719e-02       1.527387e-02       2.311959e-02
         370       3.383402e+00       8.253052e-01       1.353552e+00       1.311996e-02       6.959984e-03       1.109013e-02
         380       3.368279e+00       8.218869e-01       1.347661e+00       3.864081e-02       1.254092e-02       2.652575e-02
         390       3.400869e+00       8.297327e-01       1.360583e+00       1.063902e-02       9.481543e-03       9.856412e-03
         400       3.439215e+00       8.341752e-01       1.376181e+00       3.629742e-02       1.601379e-02       2.694208e-02
         410       3.490676e+00       8.328174e-01       1.396925e+00       1.696028e-02       1.105512e-02       1.349875e-02
         420       3.513788e+00       8.349414e-01       1.406869e+00       5.269562e-02       1.710050e-02       3.316042e-02
         430       3.494584e+00       8.284967e-01       1.399210e+00       3.810994e-02       1.314089e-02       2.408340e-02
         440       3.446797e+00       8.248869e-01       1.379778e+00       1.957713e-02       1.291874e-02       1.587797e-02
         450       3.394837e+00       8.100988e-01       1.359353e+00       4.039893e-02       2.048430e-02       2.995483e-02
         460       3.376407e+00       8.016149e-01       1.351986e+00       2.134406e-02       9.834397e-03       1.264424e-02
         470       3.387684e+00       8.013814e-01       1.356470e+00       4.638282e-02       1.575699e-02       2.690207e-02
         480       3.426700e+00       8.287030e-01       1.371562e+00       1.668113e-02       1.140907e-02       1.465363e-02
         490       3.461833e+00       8.364089e-01       1.385371e+00       1.600324e-02       6.761366e-03       1.167459e-02
         500       3.492564e+00       8.436028e-01       1.397636e+00       1.092189e-02       7.444570e-03       9.053805e-03
         510       3.505972e+00       8.479898e-01       1.403100e+00       2.128122e-02       1.188529e-02       1.612125e-02
         520       3.496948e+00       8.476127e-01       1.399358e+00       1.426623e-02       9.448670e-03       1.158497e-02
         530       3.471087e+00       8.399228e-01       1.388904e+00       7.299683e-03       5.176668e-03       6.209642e-03
         540       3.438111e+00       8.242335e-01       1.375801e+00       1.086027e-02       5.457430e-03       7.584696e-03
         550       3.412182e+00       8.185093e-01       1.365514e+00       1.347325e-02       9.706948e-03       1.168264e-02
         560       3.399085e+00       8.203708e-01       1.360425e+00       2.579174e-02       1.065338e-02       1.915191e-02
         570       3.408173e+00       8.177846e-01       1.363947e+00       1.388830e-02       6.465243e-03       8.964249e-03
         580       3.433477e+00       8.211709e-01       1.374130e+00       1.098539e-02       8.065830e-03       9.789120e-03
         590       3.469065e+00       8.256053e-01       1.388504e+00       1.504629e-02       9.365901e-03       1.271554e-02
         600       3.497217e+00       8.340695e-01       1.399715e+00       2.012160e-02       1.173406e-02       1.547110e-02
         610       3.509315e+00       8.409904e-01       1.404394e+00       2.092839e-02       7.662459e-03       1.418298e-02
         620       3.497907e+00       8.338625e-01       1.400047e+00       1.742019e-02       1.315203e-02       1.505610e-02
         630       3.457964e+00       8.178742e-01       1.384076e+00       1.993290e-02       1.307007e-02       1.551088e-02
         640       3.411542e+00       8.124981e-01       1.365201e+00       1.266001e-02       7.008885e-03       9.380711e-03
         650       3.374794e+00       8.093321e-01       1.350728e+00       4.642669e-02       1.669583e-02       3.254965e-02
         660       3.377033e+00       8.079601e-01       1.351394e+00       1.802655e-02       9.570816e-03       1.266948e-02
         670       3.403988e+00       8.100227e-01       1.362584e+00       2.358445e-02       1.211521e-02       1.801983e-02
         680       3.453795e+00       8.195379e-01       1.382460e+00       1.498268e-02       8.903179e-03       1.299323e-02
         690       3.497811e+00       8.432740e-01       1.399645e+00       2.257887e-02       1.189017e-02       1.592073e-02
