#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.170882e+00       4.533499e-01       8.718917e-01       3.515557e-02       6.767758e-03       1.583283e-02
          10       2.197869e+00       4.416595e-01       8.836488e-01       2.653262e-02       8.924209e-03       1.631811e-02
          20       2.228823e+00       4.297983e-01       8.969367e-01       3.245960e-02       8.120978e-03       1.808088e-02
          30       2.258221e+00       4.407792e-01       9.080698e-01       1.662730e-02       5.236359e-03       1.116756e-02
          40       2.260677e+00       4.578783e-01       9.083353e-01       1.822899e-02       9.102819e-03       1.277877e-02
          50       2.252302e+00       4.575511e-01       9.049191e-01       1.976390e-02       5.864285e-03       1.182802e-02
          60       2.219767e+00       4.387502e-01       8.929581e-01       2.401868e-02       5.800744e-03       1.413392e-02
          70       2.190566e+00       4.215712e-01       8.826134e-01       4.642064e-02       1.167271e-02       2.515224e-02
          80       2.165480e+00       4.246438e-01       8.720790e-01       3.887326e-02       1.001898e-02       2.179208e-02
          90       2.164632e+00       4.414559e-01       8.703413e-01       2.803423e-02       5.007988e-03       1.476597e-02
         100       2.180487e+00       4.515437e-01       8.760243e-01       3.505828e-02       7.634367e-03       1.689296e-02
         110       2.204566e+00       4.496769e-01       8.857782e-01       2.280028e-02       1.059722e-02       1.578038e-02
         120       2.237686e+00       4.462243e-01       8.989629e-01       1.938801e-02       8.644125e-03       1.174089e-02
         130       2.252543e+00       4.596741e-01       9.040819e-01       1.800007e-02       5.362519e-03       1.036747e-02
         140       2.259058e+00       4.838034e-01       9.057895e-01       7.980614e-03       3.399902e-03       6.006454e-03
         150       2.241792e+00       4.902534e-01       8.986887e-01       1.249068e-02       7.264080e-03       1.030987e-02
         160       2.216157e+00       4.703837e-01       8.888108e-01       1.395431e-02       8.980512e-03       1.135663e-02
         170       2.185875e+00       4.498514e-01       8.773811e-01       2.818732e-02       9.560707e-03       1.595744e-02
         180       2.166288e+00       4.614967e-01       8.687988e-01       1.314470e-02       5.346883e-03       9.315410e-03
         190       2.167372e+00       4.849982e-01       8.685116e-01       1.729978e-02       6.569538e-03       9.099988e-03
         200       2.179409e+00       4.922677e-01       8.733328e-01       2.363034e-02       7.326820e-03       1.279776e-02
         210       2.205651e+00       4.811379e-01       8.839369e-01       1.042275e-02       8.739706e-03       9.755877e-03
         220       2.229533e+00       4.793562e-01       8.933324e-01       1.481326e-02       4.791052e-03       8.837939e-03
         230       2.253182e+00       5.182171e-01       9.019615e-01       1.119153e-02       3.856316e-03       6.526438e-03
         240       2.254443e+00       5.379750e-01       9.022817e-01       1.781496e-02       5.644686e-03       1.096145e-02
         250       2.242427e+00       5.159181e-01       8.976751e-01       1.533606e-02       8.994566e-03       1.269357e-02
         260       2.203603e+00       5.209098e-01       8.820021e-01       2.279983e-02       1.004527e-02       1.535967e-02
         270       2.163055e+00       5.156933e-01       8.656978e-01       1.763241e-02       8.593895e-03       1.123403e-02
         280       2.141898e+00       5.070694e-01       8.573572e-01       1.355967e-02       6.836322e-03       9.451647e-03
         290       2.143774e+00       4.953156e-01       8.585451e-01       2.715237e-02       1.172259e-02       1.875400e-02
         300       2.175248e+00       4.817464e-01       8.716380e-01       2.221282e-02       1.372476e-02       1.646515e-02
         310       2.201924e+00       4.960420e-01       8.823346e-01       3.457552e-02       1.329992e-02       1.819211e-02
         320       2.241670e+00       5.069142e-01       8.989860e-01       1.858120e-02       3.442909e-03       9.456387e-03
         330       2.247362e+00       4.754587e-01       9.028509e-01       3.141982e-02       7.911559e-03       1.519554e-02
         340       2.237689e+00       4.840138e-01       8.994287e-01       2.975282e-02       1.134749e-02       1.778377e-02
         350       2.208685e+00       4.684840e-01       8.877736e-01       2.991659e-02       8.021182e-03       1.549809e-02
         360       2.182387e+00       4.832894e-01       8.761569e-01       1.649779e-02       6.882045e-03       1.094850e-02
         370       2.165352e+00       4.875676e-01       8.691228e-01       9.477700e-03       6.872777e-03       7.918146e-03
         380       2.164529e+00       4.720572e-01       8.692496e-01       1.977411e-02       7.789804e-03       1.238502e-02
         390       2.181883e+00       4.878828e-01       8.758763e-01       1.275390e-02       1.012654e-02       1.102775e-02
         400       2.202432e+00       4.810882e-01       8.838264e-01       1.596877e-02       7.587664e-03       1.114349e-02
         410       2.230334e+00       5.122584e-01       8.943419e-01       1.286966e-02       3.445709e-03       7.563831e-03
         420       2.247118e+00       5.025813e-01       9.010097e-01       1.796895e-02       3.452806e-03       9.200069e-03
         430       2.253622e+00       4.946776e-01       9.040091e-01       1.337739e-02       4.275001e-03       8.200148e-03
         440       2.240358e+00       4.942181e-01       8.991471e-01       1.730083e-02       8.180599e-03       1.238019e-02
         450       2.217797e+00       4.865953e-01       8.898429e-01       1.329764e-02       4.517590e-03       9.073141e-03
         460       2.193297e+00       5.072062e-01       8.795423e-01       1.154709e-02       3.587639e-03       6.965433e-03
         470       2.168912e+00       4.823233e-01       8.704278e-01       1.488395e-02       6.113412e-03       1.106503e-02
         480       2.163943e+00       4.699258e-01       8.693765e-01       1.786585e-02       9.489227e-03       1.315593e-02
         490       2.166985e+00       4.668541e-01       8.710272e-01       2.171008e-02       9.958645e-03       1.447558e-02
         500       2.194292e+00       4.834245e-01       8.812734e-01       1.042623e-02       6.469059e-03       8.449916e-03
         510       2.224618e+00       4.990847e-01       8.925840e-01       2.143517e-02       4.962552e-03       1.125815e-02
         520       2.254554e+00       4.874690e-01       9.047484e-01       2.293258e-02       5.604924e-03       1.192892e-02
         530       2.255519e+00       4.733995e-01       9.058439e-01       2.616256e-02       1.116898e-02       1.676517e-02
         540       2.232567e+00       4.909071e-01       8.959335e-01       2.232147e-02       1.036691e-02       1.518644e-02
         550       2.200513e+00       5.150904e-01       8.813725e-01       1.596578e-02       5.227482e-03       9.135186e-03
         560       2.164417e+00       5.077382e-01       8.665562e-01       1.042058e-02       6.463184e-03       7.701358e-03
         570       2.150507e+00       4.761114e-01       8.617098e-01       2.093602e-02       1.061114e-02       1.490071e-02
         580       2.147565e+00       4.624492e-01       8.609188e-01       3.536317e-02       1.408801e-02       2.040817e-02
         590       2.174613e+00       4.932626e-01       8.709274e-01       9.316356e-03       6.902932e-03       8.255983e-03
         600       2.204566e+00       5.229368e-01       8.822099e-01       2.129645e-02       6.200626e-03       1.072251e-02
         610       2.244490e+00       5.239436e-01       8.983018e-01       1.301877e-02       6.510200e-03       9.744623e-03
         620       2.261204e+00       4.972654e-01       9.054053e-01       2.380499e-02       8.448714e-03       1.398066e-02
         630       2.251674e+00       4.987945e-01       9.015920e-01       1.533495e-02       8.878690e-03       1.134444e-02
         640       2.223453e+00       5.274498e-01       8.900001e-01       1.984716e-02       5.638779e-03       9.731717e-03
         650       2.187706e+00       4.850411e-01       8.762350e-01       1.801228e-02       5.050883e-03       1.081434e-02
         660       2.166291e+00       4.760302e-01       8.682849e-01       1.124535e-02       6.720350e-03       9.064435e-03
         670       2.152973e+00       4.820081e-01       8.635050e-01       2.393740e-02       1.024987e-02       1.607204e-02
         680       2.167154e+00       4.810243e-01       8.690136e-01       1.708351e-02       9.299332e-03       1.171288e-02
         690       2.189218e+00       4.757352e-01       8.777221e-01       1.718231e-02       6.309821e-03       9.779872e-03
         700       2.223738e+00       4.686442e-01       8.919104e-01       1.096107e-02       6.777353e-03       8.746405e-03
