#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       3.364642e+00       8.165409e-01       1.346010e+00       1.800927e-02       1.085952e-02       1.444275e-02
          10       3.344812e+00       8.095574e-01       1.338170e+00       2.723708e-02       1.158284e-02       1.851502e-02
          20       3.358809e+00       8.060553e-01       1.343943e+00       2.302545e-02       1.148847e-02       1.995273e-02
          30       3.401261e+00       8.180028e-01       1.360836e+00       1.577335e-02       8.804323e-03       1.320003e-02
          40       3.462373e+00       8.400790e-01       1.385193e+00       1.189366e-02       5.769992e-03       1.011607e-02
          50       3.522107e+00       8.541322e-01       1.409226e+00       1.923667e-02       1.087530e-02       1.647608e-02
          60       3.556287e+00       8.587793e-01       1.422851e+00       2.549602e-02       1.717931e-02       2.066365e-02
          70       3.549313e+00       8.600544e-01       1.419911e+00       2.343707e-02       1.735714e-02       1.952799e-02
          80       3.508329e+00       8.561078e-01       1.403494e+00       1.286220e-02       6.775901e-03       1.138140e-02
          90       3.451606e+00       8.507487e-01       1.380809e+00       1.694507e-02       7.013874e-03       1.375573e-02
         100       3.399364e+00       8.249520e-01       1.359966e+00       1.869330e-02       9.749452e-03       1.515705e-02
         110       3.367067e+00       8.149742e-01       1.347079e+00       1.292252e-02       1.045392e-02       1.153202e-02
         120       3.367087e+00       8.169964e-01       1.347039e+00       1.633816e-02       1.332298e-02       1.458537e-02
         130       3.396373e+00       8.279467e-01       1.358703e+00       1.623333e-02       6.648658e-03       1.356299e-02
         140       3.438770e+00       8.480410e-01       1.375582e+00       1.250625e-02       4.884108e-03       1.030972e-02
         150       3.484277e+00       8.603665e-01       1.393777e+00       9.509069e-03       3.733817e-03       7.779683e-03
         160       3.521490e+00       8.651900e-01       1.408721e+00       1.350315e-02       1.060937e-02       1.168816e-02
         170       3.536098e+00       8.704927e-01       1.414587e+00       1.511506e-02       9.395315e-03       1.370821e-02
         180       3.522118e+00       8.703128e-01       1.408929e+00       1.288113e-02       8.871666e-03       1.083977e-02
         190       3.486478e+00       8.617241e-01       1.394664e+00       9.794175e-03       3.899889e-03       7.668067e-03
         200       3.442262e+00       8.461172e-01       1.377025e+00       1.273211e-02       7.216016e-03       1.138550e-02
         210       3.400352e+00       8.281863e-01       1.360306e+00       1.506529e-02       1.191326e-02       1.365868e-02
         220       3.371466e+00       8.195613e-01       1.348728e+00       1.247310e-02       8.944607e-03       1.071842e-02
         230       3.366870e+00       8.269168e-01       1.346822e+00       1.731614e-02       1.044497e-02       1.310658e-02
         240       3.393546e+00       8.386167e-01       1.357519e+00       1.529470e-02       6.031109e-03       1.242772e-02
         250       3.442569e+00       8.490240e-01       1.377197e+00       1.812316e-02       7.927873e-03       1.490730e-02
         260       3.502194e+00       8.642148e-01       1.401006e+00       1.409860e-02       8.790232e-03       1.171733e-02
         270       3.554294e+00       8.758758e-01       1.421828e+00       2.814015e-02       1.877560e-02       2.150916e-02
         280       3.568933e+00       8.778506e-01       1.427814e+00       3.087057e-02       2.093088e-02       2.618894e-02
         290       3.535006e+00       8.569485e-01       1.414293e+00       2.020271e-02       1.490698e-02       1.705221e-02
         300       3.471962e+00       8.102780e-01       1.389472e+00       1.534660e-02       7.696456e-03       1.258156e-02
         310       3.406531e+00       7.772528e-01       1.363823e+00       2.301577e-02       1.902919e-02       2.067556e-02
         320       3.360651e+00       7.560873e-01       1.345893e+00       3.722624e-02       1.880640e-02       2.810978e-02
         330       3.353648e+00       7.460241e-01       1.343294e+00       4.354337e-02       1.746108e-02       2.977946e-02
         340       3.388552e+00       7.625939e-01       1.356878e+00       2.479160e-02       1.220661e-02       1.850841e-02
         350       3.449946e+00       7.896108e-01       1.380994e+00       1.674792e-02       1.155534e-02       1.467534e-02
         360       3.512630e+00       8.124041e-01       1.405902e+00       2.955021e-02       1.906486e-02       2.246935e-02
         370       3.552995e+00       8.274885e-01       1.421709e+00       2.312458e-02       1.463924e-02       1.987886e-02
         380       3.558119e+00       8.288707e-01       1.423779e+00       2.587703e-02       1.936502e-02       2.283893e-02
         390       3.530161e+00       8.203872e-01       1.412834e+00       2.214599e-02       1.808699e-02       1.984241e-02
         400       3.476250e+00       8.131666e-01       1.391109e+00       1.517476e-02       8.848268e-03       1.329805e-02
         410       3.421497e+00       7.997081e-01       1.369117e+00       1.219480e-02       8.622716e-03       1.080701e-02
         420       3.385206e+00       7.856826e-01       1.354805e+00       1.512905e-02       1.291610e-02       1.408956e-02
         430       3.373095e+00       7.817991e-01       1.350051e+00       2.458665e-02       1.536892e-02       1.827068e-02
         440       3.387674e+00       7.890138e-01       1.355711e+00       1.503103e-02       1.258251e-02       1.352764e-02
         450       3.422787e+00       8.053281e-01       1.369531e+00       9.341205e-03       7.048083e-03       8.047984e-03
         460       3.468571e+00       8.238323e-01       1.387781e+00       1.225847e-02       6.078412e-03       1.063952e-02
         470       3.507692e+00       8.340658e-01       1.403454e+00       1.516095e-02       1.144724e-02       1.291679e-02
         480       3.526820e+00       8.382992e-01       1.411033e+00       1.495238e-02       9.147631e-03       1.111148e-02
         490       3.522742e+00       8.407275e-01       1.409353e+00       1.258915e-02       5.344499e-03       9.276285e-03
         500       3.500131e+00       8.357787e-01       1.400360e+00       1.188421e-02       9.342841e-03       1.100522e-02
         510       3.466207e+00       8.254735e-01       1.386802e+00       1.244885e-02       4.713495e-03       1.004495e-02
         520       3.431883e+00       8.149908e-01       1.373050e+00       8.466812e-03       6.787515e-03       7.267127e-03
         530       3.408353e+00       8.083962e-01       1.363662e+00       9.052107e-03       6.505275e-03       7.185172e-03
         540       3.400481e+00       8.082876e-01       1.360525e+00       1.196507e-02       1.007375e-02       1.107783e-02
         550       3.409196e+00       8.113345e-01       1.363992e+00       1.079999e-02       9.368155e-03       1.003593e-02
         560       3.431381e+00       8.148804e-01       1.372857e+00       8.290650e-03       6.086664e-03       6.780666e-03
