#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.178761e+00       4.811021e-01       8.739719e-01       1.363645e-02       5.775810e-03       7.998032e-03
          10       2.144172e+00       4.414860e-01       8.616987e-01       3.012055e-02       4.838877e-03       1.487528e-02
          20       2.130572e+00       4.227828e-01       8.579056e-01       5.776423e-02       1.120504e-02       2.704299e-02
          30       2.158839e+00       4.494371e-01       8.676546e-01       1.892726e-02       1.033810e-02       1.416509e-02
          40       2.188379e+00       4.745863e-01       8.789530e-01       2.866916e-02       1.170491e-02       1.777909e-02
          50       2.245447e+00       4.659132e-01       9.022184e-01       1.100199e-02       4.460924e-03       7.879745e-03
          60       2.275577e+00       4.380712e-01       9.159166e-01       3.257846e-02       6.345906e-03       1.505363e-02
          70       2.292445e+00       4.473133e-01       9.224998e-01       2.689796e-02       8.606125e-03       1.573749e-02
          80       2.263790e+00       4.710223e-01       9.103509e-01       3.688424e-02       1.197842e-02       2.041028e-02
          90       2.210050e+00       4.587923e-01       8.889805e-01       3.589772e-02       1.068098e-02       1.801099e-02
         100       2.145438e+00       4.107044e-01       8.663608e-01       6.750068e-02       7.562417e-03       3.028162e-02
         110       2.098721e+00       3.921190e-01       8.507659e-01       1.266295e-01       2.071253e-02       5.737019e-02
         120       2.123514e+00       4.351902e-01       8.550852e-01       3.334635e-02       1.781559e-02       2.285721e-02
         130       2.153765e+00       4.763153e-01       8.643243e-01       3.020469e-02       1.312341e-02       1.966918e-02
         140       2.242509e+00       5.100594e-01       8.979336e-01       9.515514e-03       5.721796e-03       7.436805e-03
         150       2.280055e+00       5.231598e-01       9.128672e-01       3.172590e-02       8.853972e-03       1.907428e-02
         160       2.297694e+00       5.080980e-01       9.214334e-01       1.514057e-02       8.634099e-03       1.192954e-02
         170       2.237659e+00       4.979817e-01       8.989066e-01       3.907607e-02       9.608214e-03       2.144792e-02
         180       2.186685e+00       4.849358e-01       8.786567e-01       2.345842e-02       7.869364e-03       1.353092e-02
         190       2.142065e+00       4.487876e-01       8.613182e-01       2.154854e-02       8.747122e-03       1.388354e-02
         200       2.125701e+00       4.401822e-01       8.552458e-01       3.283987e-02       1.050710e-02       1.928371e-02
         210       2.145930e+00       4.639861e-01       8.624805e-01       1.136070e-02       9.663718e-03       1.047340e-02
         220       2.172468e+00       4.831046e-01       8.726711e-01       2.456392e-02       8.378860e-03       1.557862e-02
         230       2.228854e+00       4.789296e-01       8.951829e-01       1.193136e-02       6.274551e-03       8.797820e-03
         240       2.260512e+00       4.678405e-01       9.083307e-01       2.714495e-02       7.187587e-03       1.363621e-02
         250       2.286029e+00       4.826450e-01       9.181515e-01       1.337749e-02       4.154283e-03       7.828124e-03
         260       2.267732e+00       4.984075e-01       9.104875e-01       2.773036e-02       5.850870e-03       1.533067e-02
         270       2.232001e+00       4.918659e-01       8.957680e-01       1.687581e-02       5.410976e-03       1.036826e-02
         280       2.182733e+00       4.661284e-01       8.765182e-01       9.636013e-03       4.423520e-03       7.793778e-03
         290       2.141950e+00       4.500007e-01       8.610351e-01       2.065939e-02       6.346544e-03       1.295688e-02
         300       2.133946e+00       4.625139e-01       8.572043e-01       1.325259e-02       9.257994e-03       1.115370e-02
         310       2.138009e+00       4.775532e-01       8.583899e-01       2.323752e-02       1.177392e-02       1.633187e-02
         320       2.185870e+00       4.760192e-01       8.776563e-01       1.351420e-02       7.663285e-03       1.039677e-02
         330       2.223250e+00       4.684142e-01       8.933465e-01       2.345350e-02       1.175366e-02       1.531477e-02
         340       2.274579e+00       4.827248e-01       9.128603e-01       9.744677e-03       4.633278e-03       6.337966e-03
         350       2.286609e+00       5.031209e-01       9.164995e-01       1.948475e-02       8.750326e-03       1.615857e-02
         360       2.262736e+00       5.114293e-01       9.060066e-01       1.154995e-02       8.109864e-03       9.975127e-03
         370       2.198296e+00       5.036510e-01       8.803937e-01       1.990743e-02       6.056732e-03       1.049563e-02
         380       2.135481e+00       4.844540e-01       8.562985e-01       1.892350e-02       7.769624e-03       1.200621e-02
         390       2.113734e+00       4.316621e-01       8.504752e-01       4.796317e-02       1.726849e-02       2.691674e-02
         400       2.110315e+00       4.002907e-01       8.535761e-01       1.035177e-01       1.676127e-02       4.791350e-02
         410       2.176760e+00       4.222972e-01       8.778456e-01       3.972466e-02       1.000596e-02       2.178406e-02
         420       2.230208e+00       4.535308e-01       8.972231e-01       5.855273e-02       1.038038e-02       2.880671e-02
         430       2.297223e+00       4.488226e-01       9.248036e-01       2.277513e-02       1.057435e-02       1.504053e-02
         440       2.295828e+00       4.211133e-01       9.262639e-01       4.034649e-02       1.390426e-02       2.424012e-02
         450       2.273488e+00       4.276346e-01       9.163939e-01       3.254703e-02       1.041504e-02       1.845866e-02
         460       2.219520e+00       4.509829e-01       8.923278e-01       2.915259e-02       7.007226e-03       1.548931e-02
         470       2.175474e+00       4.508863e-01       8.742609e-01       3.309431e-02       5.907727e-03       1.523850e-02
         480       2.147498e+00       4.276457e-01       8.649750e-01       4.407732e-02       9.338939e-03       2.151878e-02
         490       2.139239e+00       4.172695e-01       8.626231e-01       6.145002e-02       1.065373e-02       2.827302e-02
         500       2.170507e+00       4.448836e-01       8.723296e-01       2.214069e-02       7.925130e-03       1.341821e-02
         510       2.202762e+00       4.779860e-01       8.833909e-01       1.383058e-02       6.145812e-03       8.742390e-03
         520       2.249376e+00       4.868978e-01       9.019912e-01       6.819472e-03       4.835546e-03       5.742590e-03
         530       2.272729e+00       4.744134e-01       9.119685e-01       1.611968e-02       4.861680e-03       8.902169e-03
         540       2.282848e+00       4.777664e-01       9.158081e-01       1.390594e-02       7.088690e-03       9.558112e-03
         550       2.264081e+00       4.986133e-01       9.073104e-01       8.026294e-03       5.982825e-03       6.857925e-03
         560       2.222640e+00       4.986750e-01       8.905119e-01       9.658636e-03       5.096230e-03       6.608330e-03
         570       2.178610e+00       4.693563e-01       8.741633e-01       1.237570e-02       4.249486e-03       7.756116e-03
         580       2.133356e+00       4.451138e-01       8.574105e-01       3.420554e-02       1.141535e-02       1.866906e-02
         590       2.133524e+00       4.604439e-01       8.560326e-01       1.983918e-02       1.067489e-02       1.499407e-02
         600       2.142708e+00       4.914045e-01       8.583303e-01       2.056380e-02       1.056679e-02       1.349953e-02
         610       2.195912e+00       5.052007e-01       8.794618e-01       8.418547e-03       2.773790e-03       5.375828e-03
         620       2.248573e+00       4.731216e-01       9.012611e-01       2.173701e-02       5.447847e-03       1.053318e-02
         630       2.292502e+00       4.803591e-01       9.189614e-01       2.430351e-02       7.378445e-03       1.411621e-02
         640       2.293607e+00       5.030309e-01       9.198045e-01       1.920253e-02       9.396874e-03       1.549243e-02
         650       2.243660e+00       4.900076e-01       9.007950e-01       3.248069e-02       7.967279e-03       1.699646e-02
         660       2.183646e+00       4.454263e-01       8.780480e-01       2.537461e-02       4.590631e-03       1.207162e-02
         670       2.120301e+00       4.226115e-01       8.544225e-01       6.220056e-02       1.342741e-02       3.087259e-02
         680       2.116289e+00       4.494343e-01       8.515345e-01       2.531396e-02       1.746642e-02       2.060420e-02
         690       2.118940e+00       4.587111e-01       8.524098e-01       4.774253e-02       1.570299e-02       2.520531e-02
         700       2.178716e+00       4.698862e-01       8.756843e-01       1.155995e-02       5.651820e-03       8.555874e-03
         710       2.232545e+00       4.562217e-01       8.978059e-01       3.008272e-02       1.091192e-02       1.580973e-02
         720       2.283400e+00       4.817730e-01       9.175441e-01       2.603436e-02       6.607366e-03       1.395701e-02
         730       2.296370e+00       4.997742e-01       9.222274e-01       2.157832e-02       8.379148e-03       1.630281e-02
         740       2.263973e+00       4.938390e-01       9.086061e-01       1.231275e-02       4.523614e-03       1.026730e-02
         750       2.210390e+00       4.870839e-01       8.866912e-01       8.004639e-03       2.544230e-03       4.981906e-03
         760       2.148306e+00       4.708783e-01       8.618968e-01       1.516097e-02       8.417045e-03       1.112856e-02
         770       2.128746e+00       4.888794e-01       8.534034e-01       1.623502e-02       7.944589e-03       1.372942e-02
         780       2.116740e+00       4.721510e-01       8.485718e-01       2.670689e-02       1.473767e-02       1.852876e-02
         790       2.156385e+00       4.915019e-01       8.642549e-01       8.572346e-03       5.899409e-03       7.559153e-03
         800       2.198018e+00       5.066872e-01       8.808875e-01       1.062743e-02       4.701988e-03       7.810923e-03
         810       2.252096e+00       5.199649e-01       9.020799e-01       1.101039e-02       4.664253e-03       7.540541e-03
         820       2.288498e+00       5.094326e-01       9.164083e-01       1.675352e-02       6.278611e-03       1.154631e-02
         830       2.284318e+00       5.102421e-01       9.145461e-01       2.321585e-02       3.851359e-03       1.312751e-02
         840       2.253144e+00       5.187011e-01       9.018064e-01       5.889157e-03       3.827408e-03       4.910861e-03
         850       2.191557e+00       5.170221e-01       8.770830e-01       1.887446e-02       6.883270e-03       1.092939e-02
         860       2.154351e+00       5.008459e-01       8.627472e-01       1.234073e-02       7.400624e-03       1.026903e-02
         870       2.119110e+00       4.564452e-01       8.499528e-01       4.603018e-02       1.495875e-02       2.289925e-02
         880       2.134937e+00       4.812210e-01       8.552418e-01       1.565080e-02       7.002216e-03       1.103030e-02
         890       2.163492e+00       5.179174e-01       8.660119e-01       1.790230e-02       6.769766e-03       9.621590e-03
         900       2.213560e+00       5.204699e-01       8.864502e-01       1.272407e-02       3.650529e-03       7.357163e-03
         910       2.263694e+00       4.850401e-01       9.076973e-01       1.421329e-02       6.011871e-03       1.032412e-02
         920       2.288891e+00       4.732576e-01       9.184219e-01       2.834058e-02       8.143518e-03       1.710741e-02
         930       2.290407e+00       5.035451e-01       9.185756e-01       7.927822e-03       5.313743e-03       6.654040e-03
         940       2.240845e+00       4.962189e-01       8.993295e-01       3.119852e-02       1.055522e-02       1.584547e-02
         950       2.193578e+00       4.438540e-01       8.827725e-01       2.391591e-02       7.737622e-03       1.435956e-02
         960       2.133204e+00       3.997167e-01       8.631911e-01       1.030849e-01       2.002912e-02       4.592045e-02
         970       2.125492e+00       4.140659e-01       8.581960e-01       6.687679e-02       1.344208e-02       3.303541e-02
         980       2.137554e+00       4.450439e-01       8.606590e-01       5.805555e-02       1.144474e-02       2.579401e-02
         990       2.187507e+00       4.540925e-01       8.801383e-01       3.215875e-02       6.016002e-03       1.549658e-02
        1000       2.248047e+00       4.342071e-01       9.052949e-01       4.002691e-02       1.208074e-02       2.093529e-02
