# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    5.10e+01  4.97e+01    6.58e+00  6.58e+00    1.61e+00  1.57e+00    1.0e-03
   1000    2.08e+00  2.01e+00    3.44e-02  3.45e-02    7.46e-02  7.21e-02    7.7e-04
   2000    1.46e+00  1.32e+00    4.73e-02  4.71e-02    5.94e-02  5.36e-02    6.0e-04
   3000    9.51e-01  9.33e-01    4.34e-02  4.33e-02    4.39e-02  4.31e-02    4.6e-04
   4000    6.62e-01  5.47e-01    2.44e-02  2.45e-02    3.48e-02  2.87e-02    3.6e-04
   5000    4.42e-01  5.13e-01    2.54e-02  2.54e-02    2.62e-02  3.05e-02    2.8e-04
   6000    3.61e-01  3.91e-01    1.15e-02  1.16e-02    2.45e-02  2.66e-02    2.1e-04
   7000    2.86e-01  2.97e-01    9.62e-03  9.54e-03    2.21e-02  2.29e-02    1.7e-04
   8000    2.25e-01  2.28e-01    1.71e-02  1.71e-02    1.93e-02  1.95e-02    1.3e-04
   9000    2.16e-01  2.11e-01    1.75e-02  1.75e-02    2.09e-02  2.04e-02    9.9e-05
  10000    1.31e-01  1.74e-01    5.04e-03  5.15e-03    1.47e-02  1.96e-02    7.7e-05
  11000    2.38e-01  1.56e-01    6.32e-03  6.56e-03    3.05e-02  1.99e-02    6.0e-05
  12000    9.22e-02  1.39e-01    1.50e-04  1.41e-04    1.34e-02  2.03e-02    4.6e-05
  13000    7.27e-02  1.00e-01    4.19e-04  4.62e-04    1.20e-02  1.65e-02    3.6e-05
  14000    6.63e-02  7.35e-02    2.23e-04  2.65e-04    1.24e-02  1.38e-02    2.8e-05
  15000    5.78e-02  7.13e-02    1.04e-03  1.01e-03    1.22e-02  1.51e-02    2.1e-05
  16000    5.63e-02  7.33e-02    6.45e-03  6.44e-03    1.26e-02  1.68e-02    1.7e-05
  17000    4.34e-02  6.68e-02    1.44e-03  1.40e-03    1.16e-02  1.80e-02    1.3e-05
  18000    3.92e-02  5.18e-02    2.31e-03  2.30e-03    1.17e-02  1.56e-02    9.9e-06
  19000    3.35e-02  4.66e-02    8.49e-04  8.74e-04    1.14e-02  1.58e-02    7.7e-06
  20000    3.41e-02  4.22e-02    4.38e-03  4.38e-03    1.19e-02  1.52e-02    5.9e-06
  21000    2.81e-02  3.52e-02    1.42e-03  1.43e-03    1.17e-02  1.48e-02    4.6e-06
  22000    2.58e-02  2.39e-02    2.18e-03  2.16e-03    1.17e-02  1.07e-02    3.5e-06
  23000    2.23e-02  2.36e-02    7.21e-05  1.08e-04    1.16e-02  1.22e-02    2.7e-06
  24000    2.00e-02  2.77e-02    8.04e-05  9.06e-05    1.13e-02  1.57e-02    2.1e-06
  25000    1.86e-02  2.30e-02    8.78e-04  8.66e-04    1.13e-02  1.41e-02    1.6e-06
  26000    1.74e-02  1.75e-02    6.59e-04  6.26e-04    1.15e-02  1.16e-02    1.3e-06
  27000    1.60e-02  1.99e-02    4.70e-04  4.56e-04    1.13e-02  1.41e-02    9.8e-07
  28000    1.52e-02  1.68e-02    4.62e-04  4.75e-04    1.14e-02  1.26e-02    7.6e-07
  29000    1.46e-02  1.87e-02    1.92e-04  2.21e-04    1.15e-02  1.48e-02    5.9e-07
  30000    1.36e-02  1.38e-02    6.18e-05  8.53e-05    1.12e-02  1.15e-02    4.6e-07
  31000    1.31e-02  1.40e-02    8.98e-05  9.53e-05    1.12e-02  1.20e-02    3.5e-07
  32000    1.33e-02  1.43e-02    3.66e-04  3.56e-04    1.18e-02  1.27e-02    2.7e-07
  33000    1.25e-02  1.19e-02    9.49e-05  6.33e-05    1.13e-02  1.08e-02    2.1e-07
  34000    1.22e-02  1.46e-02    9.04e-05  9.76e-05    1.14e-02  1.35e-02    1.6e-07
  35000    1.20e-02  1.61e-02    1.09e-04  1.19e-04    1.13e-02  1.51e-02    1.3e-07
  36000    1.19e-02  1.47e-02    2.03e-04  2.23e-04    1.14e-02  1.40e-02    9.8e-08
  37000    1.17e-02  1.35e-02    6.02e-05  6.89e-05    1.13e-02  1.30e-02    7.6e-08
  38000    3.42e-02  3.07e-02    4.08e-04  2.61e-04    3.32e-02  2.99e-02    5.9e-08
  39000    1.15e-02  1.68e-02    9.14e-05  1.18e-04    1.12e-02  1.64e-02    4.5e-08
  40000    1.15e-02  1.27e-02    1.22e-04  1.11e-04    1.13e-02  1.25e-02    3.5e-08
