#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.137063e+00       4.751558e-01       8.595810e-01       1.441845e-02       6.762712e-03       1.001048e-02
          10       2.203213e+00       4.927897e-01       8.859517e-01       2.709500e-02       6.660199e-03       1.478646e-02
          20       2.281161e+00       4.871463e-01       9.175381e-01       2.936352e-02       8.122549e-03       1.514680e-02
          30       2.316761e+00       4.819908e-01       9.318178e-01       4.624174e-02       1.358414e-02       2.551452e-02
          40       2.313456e+00       5.078952e-01       9.285872e-01       1.770841e-02       7.308801e-03       1.057431e-02
          50       2.244598e+00       5.151042e-01       8.991106e-01       2.295510e-02       4.800171e-03       1.136151e-02
          60       2.173796e+00       5.151993e-01       8.702313e-01       7.143178e-03       4.975255e-03       6.071282e-03
          70       2.105771e+00       4.820078e-01       8.436785e-01       3.141633e-02       6.575564e-03       1.658494e-02
          80       2.091272e+00       4.896562e-01       8.378705e-01       2.074558e-02       1.103927e-02       1.458180e-02
          90       2.114824e+00       4.838070e-01       8.469472e-01       1.451597e-02       7.263619e-03       1.117128e-02
         100       2.168644e+00       5.052807e-01       8.681621e-01       1.572359e-02       5.956119e-03       9.890050e-03
         110       2.239616e+00       5.320967e-01       8.967215e-01       8.844222e-03       4.738454e-03       6.074642e-03
         120       2.288483e+00       5.323763e-01       9.166840e-01       1.374856e-02       3.856843e-03       8.575500e-03
         130       2.315394e+00       5.229133e-01       9.275368e-01       8.763459e-03       3.889005e-03       6.169611e-03
         140       2.293802e+00       5.060954e-01       9.190495e-01       1.895497e-02       7.567579e-03       1.153365e-02
         150       2.251658e+00       5.045913e-01       9.022694e-01       8.622476e-03       4.577097e-03       6.303843e-03
         160       2.189603e+00       4.932368e-01       8.779309e-01       1.088062e-02       4.281010e-03       7.695260e-03
         170       2.146349e+00       4.669479e-01       8.613593e-01       1.086291e-02       5.251306e-03       7.216311e-03
         180       2.125543e+00       4.456011e-01       8.537449e-01       2.833365e-02       8.847908e-03       1.532472e-02
         190       2.131618e+00       4.504547e-01       8.557918e-01       1.983341e-02       9.741635e-03       1.346446e-02
         200       2.168700e+00       4.744127e-01       8.699056e-01       1.403943e-02       6.541279e-03       8.807584e-03
         210       2.214654e+00       4.889040e-01       8.883177e-01       1.588127e-02       3.906481e-03       9.152739e-03
         220       2.274679e+00       4.800849e-01       9.127782e-01       5.234180e-03       2.941536e-03       4.230246e-03
         230       2.312136e+00       4.643232e-01       9.286540e-01       2.358406e-02       9.664003e-03       1.557690e-02
         240       2.322076e+00       4.770413e-01       9.324442e-01       2.150748e-02       8.713661e-03       1.311042e-02
         250       2.269050e+00       4.834653e-01       9.110284e-01       2.004342e-02       9.820066e-03       1.298904e-02
         260       2.190875e+00       4.515561e-01       8.807388e-01       1.929671e-02       3.352358e-03       1.234270e-02
         270       2.115974e+00       4.084616e-01       8.541490e-01       7.807702e-02       1.521491e-02       3.576677e-02
         280       2.077159e+00       4.034188e-01       8.390498e-01       8.875415e-02       2.658354e-02       4.661384e-02
         290       2.101524e+00       4.372586e-01       8.449689e-01       5.153921e-02       1.971918e-02       2.873366e-02
         300       2.153605e+00       4.782896e-01       8.636823e-01       3.445401e-02       9.896496e-03       1.591597e-02
         310       2.244622e+00       5.008589e-01       8.991498e-01       8.080815e-03       2.789173e-03       5.360262e-03
         320       2.305540e+00       5.085084e-01       9.231494e-01       2.255084e-02       8.563667e-03       1.665700e-02
         330       2.339504e+00       5.714449e-01       9.359114e-01       1.400400e-02       5.776071e-03       1.145404e-02
         340       2.294688e+00       5.207082e-01       9.185223e-01       3.305346e-02       8.907054e-03       1.596326e-02
         350       2.226805e+00       4.663789e-01       8.932388e-01       1.022958e-02       5.266669e-03       8.064574e-03
         360       2.149094e+00       4.336741e-01       8.645212e-01       4.625711e-02       4.315082e-03       2.211900e-02
         370       2.109294e+00       4.120482e-01       8.514291e-01       8.122250e-02       1.744061e-02       4.092881e-02
         380       2.114411e+00       4.001526e-01       8.558968e-01       9.860640e-02       2.087800e-02       4.841358e-02
         390       2.152330e+00       4.049664e-01       8.699582e-01       7.098246e-02       1.161743e-02       3.425146e-02
         400       2.224715e+00       4.325372e-01       8.955434e-01       2.776867e-02       4.867584e-03       1.429210e-02
         410       2.280222e+00       4.605624e-01       9.158083e-01       2.201347e-02       6.510780e-03       1.247997e-02
         420       2.319826e+00       4.673111e-01       9.312789e-01       1.188979e-02       6.772870e-03       9.469052e-03
         430       2.306631e+00       4.598416e-01       9.261364e-01       1.790693e-02       4.396642e-03       1.069409e-02
         440       2.268705e+00       4.617145e-01       9.105903e-01       7.708809e-03       3.156685e-03       6.440844e-03
         450       2.210515e+00       4.660150e-01       8.866799e-01       1.208350e-02       4.327496e-03       7.545180e-03
         460       2.164220e+00       4.611323e-01       8.681022e-01       2.006493e-02       4.067010e-03       9.850749e-03
         470       2.138794e+00       4.492869e-01       8.584728e-01       2.654423e-02       8.709804e-03       1.474557e-02
         480       2.136738e+00       4.464001e-01       8.577048e-01       2.710411e-02       8.845431e-03       1.509120e-02
         490       2.164726e+00       4.624058e-01       8.680159e-01       1.334154e-02       4.808850e-03       7.634671e-03
         500       2.200252e+00       4.847480e-01       8.814595e-01       7.247018e-03       4.136649e-03       5.222167e-03
         510       2.244561e+00       4.985375e-01       8.989091e-01       5.659157e-03       3.627463e-03       4.784249e-03
         520       2.274619e+00       5.008761e-01       9.109460e-01       1.130862e-02       1.890389e-03       5.894256e-03
         530       2.287567e+00       5.028443e-01       9.160951e-01       1.032601e-02       1.977660e-03       5.404993e-03
         540       2.276085e+00       5.077117e-01       9.113553e-01       6.536370e-03       3.163942e-03       4.210249e-03
         550       2.244793e+00       5.047192e-01       8.988209e-01       6.436017e-03       4.234729e-03       5.198638e-03
         560       2.205385e+00       4.872950e-01       8.834133e-01       6.069320e-03       4.031250e-03       4.755467e-03
         570       2.161131e+00       4.643238e-01       8.664412e-01       1.594399e-02       5.553504e-03       9.686428e-03
         580       2.136090e+00       4.533802e-01       8.568319e-01       2.248939e-02       1.039504e-02       1.338205e-02
         590       2.126421e+00       4.564118e-01       8.528645e-01       1.581730e-02       9.099267e-03       1.191148e-02
         600       2.156971e+00       4.696802e-01       8.646013e-01       1.284700e-02       4.040554e-03       7.139567e-03
         610       2.212079e+00       4.922976e-01       8.859298e-01       8.714031e-03       4.595943e-03       6.351469e-03
         620       2.274923e+00       5.275142e-01       9.103414e-01       1.795492e-02       4.460334e-03       8.665776e-03
         630       2.320010e+00       5.703049e-01       9.280857e-01       9.570536e-03       4.945490e-03       7.783440e-03
         640       2.314540e+00       5.462752e-01       9.260402e-01       1.513418e-02       6.476073e-03       1.033103e-02
         650       2.270128e+00       5.212658e-01       9.086734e-01       1.004046e-02       4.763553e-03       6.637347e-03
         660       2.188257e+00       4.709218e-01       8.768931e-01       2.631901e-02       1.124778e-02       1.490760e-02
         670       2.128424e+00       4.811725e-01       8.524925e-01       1.388913e-02       7.119660e-03       1.124994e-02
         680       2.079756e+00       4.859646e-01       8.328473e-01       3.928135e-02       1.426214e-02       2.312211e-02
         690       2.089095e+00       4.648189e-01       8.374868e-01       2.682997e-02       9.444471e-03       1.898647e-02
         700       2.134997e+00       4.311499e-01       8.586621e-01       5.412332e-02       1.040627e-02       2.331623e-02
         710       2.221136e+00       4.379693e-01       8.945946e-01       3.669892e-02       7.313476e-03       1.721639e-02
         720       2.307401e+00       4.840914e-01       9.288860e-01       3.229975e-02       1.416868e-02       2.154941e-02
         730       2.328599e+00       4.966611e-01       9.376548e-01       6.877241e-02       2.433621e-02       4.046046e-02
         740       2.276090e+00       4.670911e-01       9.150950e-01       2.704399e-02       6.487250e-03       1.407894e-02
         750       2.179399e+00       4.526786e-01       8.741578e-01       3.938675e-02       1.201751e-02       1.855491e-02
         760       2.115004e+00       4.904665e-01       8.471412e-01       1.922756e-02       8.354116e-03       1.386004e-02
         770       2.077900e+00       4.511208e-01       8.330222e-01       3.885739e-02       1.327350e-02       2.374864e-02
         780       2.105003e+00       4.718198e-01       8.433406e-01       1.635299e-02       4.818888e-03       1.310227e-02
         790       2.152865e+00       4.993328e-01       8.623073e-01       2.134985e-02       6.878980e-03       1.122862e-02
         800       2.227609e+00       5.027634e-01       8.922456e-01       1.183216e-02       5.458420e-03       8.746277e-03
         810       2.291076e+00       4.858073e-01       9.180049e-01       9.177997e-03       6.564060e-03       7.896355e-03
         820       2.320751e+00       4.966968e-01       9.296371e-01       1.626854e-02       7.451111e-03       1.147043e-02
         830       2.310599e+00       5.157099e-01       9.252704e-01       6.284774e-03       5.704103e-03       5.959275e-03
         840       2.259054e+00       4.949761e-01       9.051889e-01       1.209077e-02       4.297274e-03       7.552523e-03
         850       2.200540e+00       4.476873e-01       8.836983e-01       1.979755e-02       4.909945e-03       1.100873e-02
         860       2.146355e+00       4.195175e-01       8.641756e-01       5.475120e-02       9.403790e-03       2.390447e-02
         870       2.127753e+00       4.280790e-01       8.559570e-01       4.397793e-02       1.242201e-02       2.301583e-02
         880       2.131183e+00       4.434084e-01       8.562218e-01       4.810723e-02       1.125679e-02       2.196161e-02
