# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    8.75e+01  8.96e+01    8.20e+00  8.19e+00    2.77e+00  2.83e+00    1.0e-03
   1000    2.14e+00  2.44e+00    8.86e-03  8.71e-03    7.69e-02  8.76e-02    7.7e-04
   2000    1.84e+00  1.91e+00    1.16e-02  1.18e-02    7.50e-02  7.78e-02    6.0e-04
   3000    1.44e+00  1.32e+00    1.51e-02  1.53e-02    6.69e-02  6.12e-02    4.6e-04
   4000    1.23e+00  1.36e+00    7.40e-03  7.78e-03    6.50e-02  7.19e-02    3.6e-04
   5000    8.95e-01  8.00e-01    5.74e-02  5.76e-02    5.29e-02  4.71e-02    2.8e-04
   6000    7.22e-01  8.18e-01    2.50e-03  2.42e-03    4.92e-02  5.57e-02    2.1e-04
   7000    6.60e-01  7.52e-01    2.02e-02  2.01e-02    5.09e-02  5.80e-02    1.7e-04
   8000    4.18e-01  4.28e-01    1.27e-02  1.27e-02    3.66e-02  3.75e-02    1.3e-04
   9000    3.16e-01  2.97e-01    3.30e-03  3.52e-03    3.15e-02  2.97e-02    9.9e-05
  10000    2.80e-01  3.11e-01    1.37e-02  1.36e-02    3.13e-02  3.50e-02    7.7e-05
  11000    1.93e-01  2.50e-01    7.84e-03  7.74e-03    2.47e-02  3.20e-02    6.0e-05
  12000    1.66e-01  1.89e-01    7.95e-03  7.99e-03    2.39e-02  2.73e-02    4.6e-05
  13000    1.26e-01  1.62e-01    3.38e-03  3.40e-03    2.07e-02  2.68e-02    3.6e-05
  14000    1.15e-01  1.23e-01    1.17e-02  1.16e-02    2.04e-02  2.20e-02    2.8e-05
  15000    1.14e-01  1.15e-01    3.72e-03  3.79e-03    2.40e-02  2.42e-02    2.1e-05
  16000    8.54e-02  6.87e-02    2.52e-03  2.71e-03    2.03e-02  1.63e-02    1.7e-05
  17000    6.97e-02  8.58e-02    2.02e-03  2.00e-03    1.87e-02  2.31e-02    1.3e-05
  18000    6.41e-02  6.39e-02    3.95e-04  4.32e-04    1.94e-02  1.94e-02    9.9e-06
  19000    5.46e-02  5.78e-02    3.24e-03  3.31e-03    1.83e-02  1.93e-02    7.7e-06
  20000    3.92e-02  4.15e-02    5.29e-04  5.73e-04    1.49e-02  1.58e-02    5.9e-06
  21000    4.10e-02  4.17e-02    5.65e-04  6.12e-04    1.73e-02  1.77e-02    4.6e-06
  22000    3.36e-02  3.51e-02    6.82e-04  6.70e-04    1.57e-02  1.64e-02    3.5e-06
  23000    2.96e-02  3.36e-02    3.80e-04  3.65e-04    1.53e-02  1.74e-02    2.7e-06
  24000    2.83e-02  3.41e-02    1.42e-03  1.47e-03    1.58e-02  1.91e-02    2.1e-06
  25000    5.07e-02  4.80e-02    7.50e-04  9.10e-04    3.12e-02  2.95e-02    1.6e-06
  26000    2.57e-02  3.47e-02    6.27e-04  6.46e-04    1.70e-02  2.30e-02    1.3e-06
  27000    2.17e-02  2.72e-02    2.79e-04  3.83e-04    1.54e-02  1.93e-02    9.8e-07
  28000    2.07e-02  2.38e-02    2.10e-04  2.70e-04    1.56e-02  1.79e-02    7.6e-07
  29000    1.96e-02  1.94e-02    1.56e-04  2.55e-04    1.55e-02  1.54e-02    5.9e-07
  30000    1.92e-02  1.72e-02    1.31e-04  2.10e-04    1.59e-02  1.43e-02    4.6e-07
  31000    4.02e-02  4.45e-02    2.45e-04  2.98e-04    3.46e-02  3.83e-02    3.5e-07
  32000    1.73e-02  1.63e-02    6.30e-05  1.70e-04    1.54e-02  1.44e-02    2.7e-07
  33000    1.66e-02  2.37e-02    6.65e-05  1.17e-04    1.51e-02  2.15e-02    2.1e-07
  34000    1.64e-02  1.73e-02    9.49e-05  8.09e-05    1.52e-02  1.61e-02    1.6e-07
  35000    1.60e-02  1.44e-02    8.42e-05  1.28e-04    1.51e-02  1.36e-02    1.3e-07
  36000    3.57e-02  3.47e-02    2.66e-04  4.60e-04    3.40e-02  3.31e-02    9.8e-08
  37000    1.58e-02  1.85e-02    5.05e-05  1.57e-04    1.52e-02  1.79e-02    7.6e-08
  38000    1.56e-02  1.99e-02    5.05e-05  9.30e-05    1.52e-02  1.94e-02    5.9e-08
  39000    1.54e-02  1.88e-02    5.00e-05  1.96e-04    1.51e-02  1.84e-02    4.5e-08
  40000    1.53e-02  1.67e-02    5.87e-05  9.17e-05    1.50e-02  1.64e-02    3.5e-08
