#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       3.438029e+00       8.283860e-01       1.375481e+00       8.355586e-03       4.915710e-03       6.121098e-03
          10       3.458374e+00       8.306880e-01       1.383730e+00       1.540622e-02       5.249847e-03       1.294365e-02
          20       3.476257e+00       8.300387e-01       1.391026e+00       1.946030e-02       8.007113e-03       1.623769e-02
          30       3.481454e+00       8.250223e-01       1.393070e+00       1.186468e-02       5.538779e-03       1.015457e-02
          40       3.474586e+00       8.259725e-01       1.390224e+00       9.218834e-03       7.193247e-03       7.776879e-03
          50       3.462427e+00       8.270485e-01       1.385422e+00       1.762283e-02       1.215773e-02       1.600465e-02
          60       3.442808e+00       8.192837e-01       1.377675e+00       2.195037e-02       1.152279e-02       1.943264e-02
          70       3.419994e+00       8.068565e-01       1.368543e+00       1.215831e-02       1.077856e-02       1.132443e-02
          80       3.411100e+00       8.011382e-01       1.365096e+00       1.268180e-02       8.887567e-03       1.100204e-02
          90       3.421368e+00       8.033488e-01       1.369576e+00       3.228209e-02       1.292086e-02       2.386804e-02
         100       3.439115e+00       8.037040e-01       1.377023e+00       2.549282e-02       1.453769e-02       2.110169e-02
         110       3.456180e+00       7.975089e-01       1.384424e+00       3.343105e-02       1.002670e-02       1.993148e-02
         120       3.474216e+00       7.892796e-01       1.392509e+00       6.124879e-02       2.159550e-02       3.688036e-02
         130       3.467766e+00       7.960358e-01       1.389685e+00       3.736678e-02       2.318522e-02       3.000684e-02
         140       3.440757e+00       7.989988e-01       1.378266e+00       2.554628e-02       1.661137e-02       2.002576e-02
         150       3.417728e+00       8.034436e-01       1.368671e+00       2.064135e-02       9.239659e-03       1.307303e-02
         160       3.410873e+00       8.136985e-01       1.365499e+00       3.072526e-02       2.031027e-02       2.519404e-02
         170       3.420378e+00       8.238826e-01       1.368967e+00       2.434787e-02       1.186537e-02       2.036509e-02
         180       3.435773e+00       8.295187e-01       1.374743e+00       1.905205e-02       1.236842e-02       1.446039e-02
         190       3.459620e+00       8.222382e-01       1.384283e+00       1.115360e-02       9.486218e-03       1.023974e-02
         200       3.479387e+00       8.196987e-01       1.392603e+00       2.256485e-02       9.529932e-03       1.817806e-02
         210       3.480249e+00       8.198449e-01       1.393058e+00       2.453567e-02       1.340164e-02       1.990921e-02
         220       3.461185e+00       8.149094e-01       1.385241e+00       1.348694e-02       5.618652e-03       1.068666e-02
         230       3.442597e+00       8.113672e-01       1.377876e+00       1.124758e-02       1.012244e-02       1.072650e-02
         240       3.430702e+00       8.045347e-01       1.373437e+00       2.584794e-02       1.420649e-02       2.173902e-02
         250       3.421837e+00       8.007589e-01       1.369882e+00       1.927920e-02       1.020773e-02       1.651514e-02
         260       3.422491e+00       8.048033e-01       1.369883e+00       1.116464e-02       9.370878e-03       1.043935e-02
         270       3.437052e+00       8.092201e-01       1.375787e+00       1.621589e-02       8.181969e-03       1.274419e-02
         280       3.458572e+00       8.096638e-01       1.384679e+00       2.110649e-02       8.706968e-03       1.627084e-02
         290       3.471713e+00       8.067312e-01       1.390094e+00       2.626001e-02       1.453800e-02       1.782754e-02
         300       3.475274e+00       8.051492e-01       1.391477e+00       1.985256e-02       8.106920e-03       1.310743e-02
