#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.243494e+00       4.722519e-01       9.010043e-01       1.450789e-02       4.519346e-03       8.514292e-03
          10       2.209550e+00       4.736057e-01       8.875855e-01       1.043320e-02       3.777473e-03       6.642410e-03
          20       2.173743e+00       4.658583e-01       8.741063e-01       1.417172e-02       3.695136e-03       7.542960e-03
          30       2.153502e+00       4.517639e-01       8.667918e-01       2.054424e-02       3.864340e-03       1.072188e-02
          40       2.155387e+00       4.429892e-01       8.677896e-01       2.596842e-02       4.069568e-03       1.233158e-02
          50       2.173317e+00       4.493829e-01       8.745156e-01       1.591292e-02       4.309706e-03       9.616339e-03
          60       2.208683e+00       4.660664e-01       8.883976e-01       1.024009e-02       3.662494e-03       6.820629e-03
          70       2.239778e+00       4.748934e-01       9.012453e-01       2.172454e-02       5.332540e-03       1.230562e-02
          80       2.264042e+00       4.700317e-01       9.113025e-01       2.180376e-02       4.768515e-03       1.205985e-02
          90       2.263565e+00       4.648282e-01       9.109869e-01       1.519575e-02       4.891967e-03       8.878082e-03
         100       2.246655e+00       4.732774e-01       9.036397e-01       8.865303e-03       3.236295e-03       5.916123e-03
         110       2.217769e+00       4.819124e-01       8.917118e-01       1.065386e-02       3.671833e-03       6.570010e-03
         120       2.188823e+00       4.765554e-01       8.802428e-01       1.203249e-02       3.690254e-03       7.334846e-03
         130       2.172295e+00       4.653013e-01       8.740038e-01       1.613547e-02       6.257354e-03       8.823302e-03
         140       2.168095e+00       4.608964e-01       8.721640e-01       1.333150e-02       5.701885e-03       8.433058e-03
         150       2.182765e+00       4.723035e-01       8.772664e-01       8.900077e-03       1.814382e-03       5.291049e-03
         160       2.203695e+00       4.863957e-01       8.852260e-01       7.779034e-03       3.217486e-03       5.498111e-03
         170       2.230411e+00       4.870678e-01       8.960551e-01       9.110741e-03       4.771259e-03       6.762869e-03
         180       2.251385e+00       4.850114e-01       9.046961e-01       9.840331e-03       4.448969e-03       6.916009e-03
         190       2.261725e+00       4.874546e-01       9.087221e-01       1.100217e-02       4.016658e-03       6.789500e-03
         200       2.257478e+00       4.933550e-01       9.067580e-01       6.817399e-03       3.065542e-03       4.915547e-03
         210       2.233637e+00       4.892146e-01       8.973364e-01       1.092651e-02       3.470731e-03       6.510172e-03
         220       2.201577e+00       4.670649e-01       8.853801e-01       1.111152e-02       5.270121e-03       7.499337e-03
         230       2.165974e+00       4.521794e-01       8.721370e-01       2.056264e-02       5.385066e-03       1.126078e-02
         240       2.151194e+00       4.605760e-01       8.659648e-01       1.864580e-02       6.173677e-03       9.652617e-03
         250       2.153657e+00       4.671005e-01       8.661748e-01       1.705775e-02       5.128264e-03       8.576695e-03
         260       2.180022e+00       4.732520e-01       8.763495e-01       9.394166e-03       3.896898e-03       5.732893e-03
         270       2.218439e+00       4.622223e-01       8.916046e-01       9.743210e-03       5.109131e-03       7.790099e-03
         280       2.253669e+00       4.688385e-01       9.049075e-01       1.840247e-02       6.024630e-03       1.027778e-02
         290       2.273936e+00       4.982252e-01       9.118030e-01       1.035806e-02       4.993359e-03       7.529701e-03
         300       2.262432e+00       5.140162e-01       9.064385e-01       1.168837e-02       4.707049e-03       7.142295e-03
         310       2.232341e+00       5.051432e-01       8.947212e-01       9.564119e-03       4.335950e-03       6.471250e-03
         320       2.191805e+00       4.873884e-01       8.795640e-01       8.181392e-03       5.005936e-03       6.822513e-03
         330       2.166674e+00       4.711235e-01       8.699720e-01       9.119231e-03       2.789373e-03       5.542004e-03
         340       2.155817e+00       4.628988e-01       8.658449e-01       1.514727e-02       4.587001e-03       8.647293e-03
         350       2.168234e+00       4.543256e-01       8.711580e-01       1.621125e-02       5.542028e-03       9.671672e-03
         360       2.193523e+00       4.498922e-01       8.816758e-01       1.719753e-02       2.583861e-03       9.577305e-03
         370       2.227267e+00       4.594968e-01       8.949871e-01       1.211480e-02       5.057749e-03       8.065130e-03
         380       2.256676e+00       4.748536e-01       9.062121e-01       1.210784e-02       3.858684e-03       7.300263e-03
         390       2.267980e+00       4.765647e-01       9.106268e-01       1.076359e-02       2.832863e-03       6.422711e-03
         400       2.261723e+00       4.606201e-01       9.086792e-01       7.888908e-03       2.955909e-03       5.560076e-03
         410       2.236689e+00       4.477818e-01       8.992693e-01       1.735806e-02       5.383829e-03       1.050198e-02
         420       2.209751e+00       4.528371e-01       8.882279e-01       1.623206e-02       2.826462e-03       9.125728e-03
         430       2.180691e+00       4.557329e-01       8.764283e-01       2.201662e-02       4.708072e-03       1.147684e-02
         440       2.164594e+00       4.429620e-01       8.707399e-01       2.699472e-02       5.301094e-03       1.356891e-02
         450       2.162639e+00       4.234127e-01       8.716895e-01       4.541709e-02       5.694887e-03       2.051266e-02
         460       2.179589e+00       4.208708e-01       8.791848e-01       4.507820e-02       6.770577e-03       2.053284e-02
         470       2.218354e+00       4.409793e-01       8.935862e-01       2.899415e-02       6.503017e-03       1.511978e-02
         480       2.254189e+00       4.563227e-01       9.071264e-01       3.192349e-02       6.953739e-03       1.580387e-02
         490       2.277011e+00       4.472477e-01       9.162766e-01       1.582862e-02       5.179433e-03       9.355848e-03
         500       2.259671e+00       4.331064e-01       9.092281e-01       2.819712e-02       8.029410e-03       1.413002e-02
