#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.142329e+00       4.915591e-01       8.600429e-01       1.345696e-02       3.640568e-03       6.868385e-03
          10       2.125158e+00       4.894596e-01       8.531563e-01       1.302434e-02       5.644998e-03       8.427104e-03
          20       2.142890e+00       4.798145e-01       8.599755e-01       1.025217e-02       5.329446e-03       7.824919e-03
          30       2.177961e+00       4.629243e-01       8.741735e-01       1.566140e-02       6.082530e-03       1.024887e-02
          40       2.233336e+00       4.735111e-01       8.967917e-01       9.172464e-03       4.553290e-03       7.021526e-03
          50       2.274480e+00       4.801026e-01       9.145807e-01       1.050407e-02       6.201058e-03       8.532760e-03
          60       2.293628e+00       4.760425e-01       9.229917e-01       1.435911e-02       6.483743e-03       1.002048e-02
          70       2.268885e+00       4.535742e-01       9.140156e-01       1.774367e-02       6.068539e-03       1.044526e-02
          80       2.218579e+00       4.392082e-01       8.953671e-01       3.802737e-02       6.751334e-03       1.903619e-02
          90       2.161009e+00       4.361175e-01       8.742694e-01       4.615573e-02       6.500561e-03       2.349562e-02
         100       2.122203e+00       4.323486e-01       8.601717e-01       6.022572e-02       1.801500e-02       2.991891e-02
         110       2.123796e+00       4.274052e-01       8.597650e-01       4.411908e-02       1.057192e-02       2.380474e-02
         120       2.150006e+00       4.314243e-01       8.689795e-01       4.020209e-02       1.052843e-02       2.177998e-02
         130       2.210102e+00       4.558258e-01       8.917981e-01       3.694432e-02       7.496597e-03       1.926937e-02
         140       2.261623e+00       4.465708e-01       9.116693e-01       4.524570e-02       8.751913e-03       2.358158e-02
         150       2.297535e+00       4.624517e-01       9.232703e-01       1.680090e-02       7.877142e-03       1.082257e-02
         160       2.274488e+00       4.965511e-01       9.113504e-01       1.972571e-02       4.880495e-03       1.031255e-02
         170       2.221238e+00       5.019431e-01       8.904033e-01       7.740751e-03       5.973699e-03       7.117705e-03
         180       2.163773e+00       4.689357e-01       8.694648e-01       2.337345e-02       6.140902e-03       1.095785e-02
         190       2.133563e+00       4.361577e-01       8.600230e-01       4.960244e-02       8.471501e-03       2.262843e-02
         200       2.134349e+00       4.095532e-01       8.632203e-01       6.663597e-02       9.220227e-03       3.138119e-02
         210       2.166409e+00       4.053843e-01       8.766362e-01       7.583254e-02       1.121563e-02       3.276563e-02
         220       2.218760e+00       4.321774e-01       8.946721e-01       2.865382e-02       4.462536e-03       1.578903e-02
         230       2.263069e+00       4.572785e-01       9.109465e-01       2.918684e-02       7.176153e-03       1.516534e-02
         240       2.287223e+00       4.554664e-01       9.208266e-01       1.518878e-02       7.389305e-03       1.099923e-02
         250       2.276759e+00       4.365332e-01       9.176726e-01       2.542205e-02       5.697058e-03       1.315998e-02
         260       2.248307e+00       4.346068e-01       9.062403e-01       3.172213e-02       4.662224e-03       1.593858e-02
         270       2.207521e+00       4.471374e-01       8.888149e-01       2.626517e-02       4.614212e-03       1.386240e-02
         280       2.172101e+00       4.477608e-01       8.744751e-01       3.121099e-02       5.574978e-03       1.436919e-02
         290       2.149163e+00       4.332415e-01       8.665125e-01       3.261224e-02       5.937376e-03       1.680206e-02
         300       2.147207e+00       4.231696e-01       8.668068e-01       4.624441e-02       6.274214e-03       2.110181e-02
         310       2.174139e+00       4.397656e-01       8.761108e-01       2.344562e-02       4.816939e-03       1.263047e-02
         320       2.216844e+00       4.764335e-01       8.911144e-01       1.696641e-02       5.336919e-03       9.428075e-03
         330       2.265771e+00       4.912845e-01       9.096449e-01       9.080974e-03       2.787978e-03       5.445366e-03
         340       2.289243e+00       4.798699e-01       9.188988e-01       2.256173e-02       4.369519e-03       1.101012e-02
         350       2.282253e+00       4.727917e-01       9.159334e-01       8.165905e-03       4.671192e-03       5.928432e-03
         360       2.235434e+00       4.740704e-01       8.964144e-01       1.253213e-02       6.825974e-03       8.382750e-03
         370       2.177412e+00       4.711211e-01       8.729598e-01       1.849826e-02       4.102107e-03       9.224455e-03
         380       2.126875e+00       4.571009e-01       8.537378e-01       2.359731e-02       6.453633e-03       1.282387e-02
         390       2.103268e+00       4.390181e-01       8.454014e-01       2.493265e-02       1.406923e-02       1.824771e-02
