# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    8.81e+01  8.34e+01    7.36e+00  7.40e+00    2.79e+00  2.64e+00    1.0e-03
   1000    5.58e+00  4.42e+00    5.12e-02  5.19e-02    2.00e-01  1.59e-01    7.7e-04
   2000    1.93e+00  1.85e+00    4.32e-03  4.40e-03    7.90e-02  7.56e-02    6.0e-04
   3000    1.69e+00  1.64e+00    1.09e-02  1.11e-02    7.85e-02  7.59e-02    4.6e-04
   4000    1.36e+00  1.10e+00    3.68e-03  3.96e-03    7.20e-02  5.81e-02    3.6e-04
   5000    1.33e+00  1.52e+00    1.73e-02  1.75e-02    7.96e-02  9.13e-02    2.8e-04
   6000    9.51e-01  1.01e+00    5.21e-03  5.11e-03    6.48e-02  6.87e-02    2.1e-04
   7000    7.01e-01  6.54e-01    1.66e-02  1.64e-02    5.41e-02  5.05e-02    1.7e-04
   8000    5.18e-01  4.69e-01    3.95e-03  4.04e-03    4.55e-02  4.12e-02    1.3e-04
   9000    3.99e-01  4.16e-01    9.58e-04  1.06e-03    3.99e-02  4.15e-02    9.9e-05
  10000    3.18e-01  3.57e-01    1.00e-02  9.75e-03    3.59e-02  4.03e-02    7.7e-05
  11000    2.24e-01  1.95e-01    2.06e-03  1.94e-03    2.88e-02  2.50e-02    6.0e-05
  12000    1.76e-01  1.73e-01    3.21e-03  3.10e-03    2.57e-02  2.52e-02    4.6e-05
  13000    1.39e-01  1.52e-01    2.68e-03  2.64e-03    2.29e-02  2.51e-02    3.6e-05
  14000    1.14e-01  8.85e-02    1.32e-03  1.32e-03    2.12e-02  1.65e-02    2.8e-05
  15000    9.31e-02  1.14e-01    2.16e-03  2.09e-03    1.97e-02  2.42e-02    2.1e-05
  16000    7.57e-02  9.22e-02    8.43e-04  8.00e-04    1.81e-02  2.20e-02    1.7e-05
  17000    6.57e-02  7.59e-02    4.81e-04  4.63e-04    1.77e-02  2.04e-02    1.3e-05
  18000    5.71e-02  5.53e-02    4.61e-04  4.21e-04    1.73e-02  1.68e-02    9.9e-06
  19000    5.08e-02  5.89e-02    6.90e-04  7.48e-04    1.73e-02  2.00e-02    7.7e-06
  20000    4.51e-02  4.57e-02    2.26e-03  2.23e-03    1.69e-02  1.72e-02    5.9e-06
  21000    3.97e-02  4.07e-02    1.41e-04  1.35e-04    1.68e-02  1.72e-02    4.6e-06
  22000    3.56e-02  4.32e-02    6.81e-04  7.34e-04    1.67e-02  2.03e-02    3.5e-06
  23000    3.21e-02  3.60e-02    2.55e-04  2.36e-04    1.66e-02  1.86e-02    2.7e-06
  24000    2.93e-02  3.37e-02    6.58e-04  6.24e-04    1.66e-02  1.91e-02    2.1e-06
  25000    2.68e-02  3.00e-02    3.98e-04  3.80e-04    1.65e-02  1.84e-02    1.6e-06
  26000    2.50e-02  2.65e-02    8.18e-04  8.18e-04    1.65e-02  1.75e-02    1.3e-06
  27000    2.31e-02  2.41e-02    3.21e-04  3.07e-04    1.64e-02  1.71e-02    9.8e-07
  28000    2.18e-02  2.17e-02    3.80e-04  4.06e-04    1.64e-02  1.64e-02    7.6e-07
  29000    2.07e-02  2.64e-02    6.67e-04  6.33e-04    1.64e-02  2.09e-02    5.9e-07
  30000    1.97e-02  1.78e-02    1.93e-04  1.63e-04    1.63e-02  1.47e-02    4.6e-07
  31000    1.90e-02  1.83e-02    2.66e-04  2.18e-04    1.63e-02  1.57e-02    3.5e-07
  32000    1.84e-02  1.87e-02    2.16e-04  2.23e-04    1.63e-02  1.66e-02    2.7e-07
  33000    1.79e-02  1.84e-02    1.55e-04  1.84e-04    1.63e-02  1.67e-02    2.1e-07
  34000    1.76e-02  1.93e-02    4.46e-05  8.35e-05    1.63e-02  1.79e-02    1.6e-07
  35000    1.73e-02  1.57e-02    5.16e-05  9.81e-05    1.63e-02  1.47e-02    1.3e-07
  36000    1.70e-02  1.99e-02    4.62e-05  9.71e-05    1.63e-02  1.90e-02    9.8e-08
  37000    1.69e-02  1.87e-02    6.59e-05  9.85e-05    1.63e-02  1.80e-02    7.6e-08
  38000    1.67e-02  1.44e-02    1.20e-04  1.33e-04    1.63e-02  1.40e-02    5.9e-08
  39000    1.66e-02  2.14e-02    5.74e-05  1.07e-04    1.63e-02  2.09e-02    4.5e-08
  40000    1.65e-02  1.62e-02    1.08e-04  1.39e-04    1.63e-02  1.59e-02    3.5e-08
