# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    8.71e+01  8.85e+01    7.56e+00  7.55e+00    2.75e+00  2.80e+00    1.0e-03
   1000    1.03e+01  9.20e+00    1.18e-02  1.35e-02    3.72e-01  3.31e-01    7.7e-04
   2000    2.55e+00  2.22e+00    3.96e-02  3.95e-02    1.04e-01  9.05e-02    6.0e-04
   3000    1.84e+00  1.71e+00    4.11e-03  4.26e-03    8.53e-02  7.93e-02    4.6e-04
   4000    1.60e+00  1.87e+00    5.33e-03  5.83e-03    8.46e-02  9.88e-02    3.6e-04
   5000    1.40e+00  1.35e+00    1.29e-03  1.10e-03    8.41e-02  8.07e-02    2.8e-04
   6000    1.23e+00  1.00e+00    7.83e-04  1.20e-03    8.35e-02  6.84e-02    2.1e-04
   7000    1.17e+00  1.14e+00    4.97e-03  5.18e-03    9.06e-02  8.83e-02    1.7e-04
   8000    9.22e-01  8.45e-01    5.85e-03  6.03e-03    8.10e-02  7.43e-02    1.3e-04
   9000    8.08e-01  8.77e-01    1.12e-02  1.11e-02    8.06e-02  8.75e-02    9.9e-05
  10000    7.02e-01  6.49e-01    1.46e-02  1.49e-02    7.94e-02  7.34e-02    7.7e-05
  11000    6.04e-01  7.06e-01    1.01e-03  1.48e-03    7.76e-02  9.07e-02    6.0e-05
  12000    5.21e-01  4.46e-01    7.44e-03  7.78e-03    7.59e-02  6.50e-02    4.6e-05
  13000    4.51e-01  4.59e-01    4.39e-03  4.32e-03    7.45e-02  7.59e-02    3.6e-05
  14000    4.31e-01  4.90e-01    1.50e-03  2.02e-03    8.07e-02  9.17e-02    2.8e-05
  15000    3.44e-01  3.11e-01    3.86e-03  3.64e-03    7.28e-02  6.57e-02    2.1e-05
  16000    2.99e-01  2.62e-01    1.80e-03  1.94e-03    7.14e-02  6.26e-02    1.7e-05
  17000    2.61e-01  2.41e-01    1.02e-03  1.03e-03    7.04e-02  6.51e-02    1.3e-05
  18000    2.30e-01  2.27e-01    2.38e-03  2.39e-03    6.97e-02  6.89e-02    9.9e-06
  19000    2.03e-01  2.07e-01    6.45e-04  8.66e-04    6.89e-02  7.03e-02    7.7e-06
  20000    1.81e-01  1.74e-01    2.12e-03  2.23e-03    6.87e-02  6.60e-02    5.9e-06
  21000    1.61e-01  1.69e-01    8.72e-04  7.87e-04    6.82e-02  7.14e-02    4.6e-06
  22000    1.44e-01  1.31e-01    6.50e-04  9.34e-04    6.75e-02  6.13e-02    3.5e-06
  23000    1.30e-01  1.59e-01    7.19e-04  1.38e-03    6.74e-02  8.21e-02    2.7e-06
  24000    1.18e-01  9.67e-02    6.41e-04  4.41e-04    6.70e-02  5.48e-02    2.1e-06
  25000    1.09e-01  1.16e-01    7.46e-04  9.16e-04    6.69e-02  7.16e-02    1.6e-06
  26000    1.00e-01  9.66e-02    8.19e-04  6.02e-04    6.66e-02  6.41e-02    1.3e-06
  27000    9.37e-02  8.99e-02    6.27e-04  4.16e-04    6.65e-02  6.38e-02    9.8e-07
  28000    8.82e-02  8.06e-02    6.60e-04  3.74e-04    6.64e-02  6.07e-02    7.6e-07
  29000    9.70e-02  1.28e-01    1.57e-03  1.77e-03    7.69e-02  1.02e-01    5.9e-07
  30000    8.00e-02  5.24e-02    6.50e-04  4.07e-04    6.63e-02  4.34e-02    4.6e-07
  31000    7.71e-02  7.87e-02    6.12e-04  9.24e-04    6.62e-02  6.76e-02    3.5e-07
  32000    8.70e-02  7.03e-02    1.60e-03  8.72e-04    7.70e-02  6.23e-02    2.7e-07
  33000    7.28e-02  7.66e-02    6.26e-04  5.66e-04    6.62e-02  6.96e-02    2.1e-07
  34000    7.14e-02  7.46e-02    6.23e-04  3.07e-04    6.61e-02  6.91e-02    1.6e-07
  35000    7.02e-02  7.80e-02    6.22e-04  8.88e-04    6.61e-02  7.35e-02    1.3e-07
  36000    6.93e-02  8.64e-02    6.42e-04  1.02e-03    6.61e-02  8.24e-02    9.8e-08
  37000    6.86e-02  5.73e-02    6.29e-04  4.06e-04    6.61e-02  5.53e-02    7.6e-08
  38000    6.80e-02  6.86e-02    6.27e-04  8.30e-04    6.61e-02  6.66e-02    5.9e-08
  39000    6.76e-02  6.16e-02    6.13e-04  4.30e-04    6.61e-02  6.03e-02    4.5e-08
  40000    6.73e-02  5.93e-02    6.17e-04  3.41e-04    6.61e-02  5.83e-02    3.5e-08
