#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       3.399050e+00       8.125621e-01       1.360184e+00       1.652521e-02       9.288833e-03       1.369050e-02
          10       3.399645e+00       7.979795e-01       1.360714e+00       2.299228e-02       7.740064e-03       1.172179e-02
          20       3.423202e+00       8.013421e-01       1.370315e+00       1.391020e-02       6.932142e-03       9.503382e-03
          30       3.458987e+00       8.187238e-01       1.384571e+00       1.178211e-02       9.748838e-03       1.059431e-02
          40       3.487738e+00       8.237509e-01       1.396241e+00       2.542496e-02       1.196565e-02       1.718823e-02
          50       3.499463e+00       8.201042e-01       1.401290e+00       3.808536e-02       8.421630e-03       2.070042e-02
          60       3.485768e+00       8.107371e-01       1.396073e+00       4.258696e-02       1.019268e-02       2.323430e-02
          70       3.456576e+00       8.091552e-01       1.384225e+00       2.394739e-02       1.464249e-02       1.753351e-02
          80       3.418948e+00       8.059027e-01       1.368851e+00       2.221570e-02       1.422254e-02       1.675397e-02
          90       3.391187e+00       7.955571e-01       1.357958e+00       1.803337e-02       1.363523e-02       1.628581e-02
         100       3.388242e+00       7.855563e-01       1.357237e+00       3.788484e-02       1.489197e-02       2.150397e-02
         110       3.406905e+00       7.912441e-01       1.364774e+00       3.347691e-02       1.615022e-02       2.173722e-02
         120       3.443247e+00       8.063596e-01       1.378913e+00       1.543472e-02       1.154141e-02       1.336036e-02
         130       3.481227e+00       8.173477e-01       1.393856e+00       2.865053e-02       1.538729e-02       2.257422e-02
         140       3.506086e+00       8.198172e-01       1.403721e+00       2.919249e-02       9.912401e-03       1.849658e-02
         150       3.491197e+00       8.180320e-01       1.397341e+00       1.644356e-02       1.286722e-02       1.508999e-02
         160       3.448882e+00       8.308534e-01       1.380026e+00       1.162797e-02       9.570277e-03       1.052281e-02
         170       3.406739e+00       7.848274e-01       1.364019e+00       2.024120e-02       1.016213e-02       1.503044e-02
         180       3.391110e+00       7.670023e-01       1.358381e+00       3.522425e-02       1.529926e-02       2.440986e-02
         190       3.404906e+00       7.714508e-01       1.363773e+00       2.157214e-02       1.304209e-02       1.745106e-02
         200       3.436561e+00       7.768805e-01       1.376612e+00       2.276016e-02       8.590719e-03       1.704977e-02
         210       3.473411e+00       7.840259e-01       1.391466e+00       3.299556e-02       1.018883e-02       1.943463e-02
         220       3.496578e+00       7.874762e-01       1.400645e+00       4.418715e-02       1.431886e-02       2.537502e-02
         230       3.496352e+00       7.986316e-01       1.400220e+00       3.443792e-02       1.075874e-02       2.020514e-02
         240       3.475387e+00       8.043827e-01       1.391362e+00       1.636375e-02       9.061820e-03       1.237411e-02
         250       3.446003e+00       8.020057e-01       1.379357e+00       9.937388e-03       6.796089e-03       8.555869e-03
         260       3.420477e+00       7.916251e-01       1.369219e+00       1.330927e-02       8.692021e-03       1.090217e-02
         270       3.408402e+00       7.895984e-01       1.364338e+00       1.386377e-02       8.055251e-03       1.124740e-02
         280       3.413241e+00       8.006267e-01       1.366061e+00       1.355742e-02       8.525773e-03       1.041164e-02
         290       3.431476e+00       8.106931e-01       1.373313e+00       1.226258e-02       8.391983e-03       9.693338e-03
         300       3.458422e+00       8.168273e-01       1.384118e+00       1.111002e-02       7.243430e-03       9.910061e-03
         310       3.482463e+00       8.165681e-01       1.393785e+00       1.113573e-02       8.287561e-03       9.668385e-03
         320       3.494311e+00       8.248003e-01       1.398395e+00       1.108447e-02       6.178844e-03       9.075970e-03
         330       3.488539e+00       8.341626e-01       1.395810e+00       1.198568e-02       9.125244e-03       1.022463e-02
         340       3.464238e+00       8.357838e-01       1.385887e+00       1.016482e-02       5.437347e-03       8.908711e-03
         350       3.429812e+00       8.272801e-01       1.372081e+00       9.406303e-03       7.401320e-03       8.397549e-03
         360       3.401548e+00       8.218720e-01       1.360924e+00       1.290780e-02       7.862609e-03       1.093280e-02
         370       3.392855e+00       8.178266e-01       1.357429e+00       1.452674e-02       1.152098e-02       1.291552e-02
         380       3.404209e+00       8.126425e-01       1.362058e+00       1.829728e-02       1.034203e-02       1.545528e-02
         390       3.440638e+00       8.091240e-01       1.376794e+00       1.105187e-02       7.585582e-03       9.555633e-03
         400       3.484790e+00       8.200162e-01       1.394639e+00       1.516384e-02       1.261289e-02       1.374190e-02
         410       3.520474e+00       8.158287e-01       1.409232e+00       2.894539e-02       1.530840e-02       2.258872e-02
         420       3.523714e+00       7.968993e-01       1.410924e+00       4.260678e-02       1.377348e-02       2.714797e-02
         430       3.492732e+00       7.720562e-01       1.399315e+00       2.824525e-02       1.169140e-02       1.865446e-02
         440       3.448018e+00       7.450477e-01       1.382561e+00       5.011861e-02       1.675087e-02       2.963659e-02
         450       3.413149e+00       7.328947e-01       1.368850e+00       5.311695e-02       1.599163e-02       3.147488e-02
         460       3.408603e+00       7.417057e-01       1.366169e+00       4.102947e-02       9.768938e-03       2.537774e-02
         470       3.429395e+00       7.613286e-01       1.373846e+00       2.304618e-02       1.018004e-02       1.638825e-02
         480       3.468182e+00       7.887874e-01       1.388646e+00       1.260413e-02       1.093022e-02       1.145742e-02
         490       3.501044e+00       8.362423e-01       1.401060e+00       1.812654e-02       1.114253e-02       1.457711e-02
         500       3.513320e+00       8.467790e-01       1.405645e+00       1.884097e-02       1.007711e-02       1.361645e-02
         510       3.496503e+00       8.489143e-01       1.398764e+00       1.143985e-02       9.533338e-03       1.032362e-02
         520       3.458522e+00       8.337167e-01       1.383640e+00       1.552054e-02       7.737579e-03       1.323716e-02
         530       3.416094e+00       8.147675e-01       1.366753e+00       1.300539e-02       7.691378e-03       1.144230e-02
         540       3.389021e+00       8.060234e-01       1.355936e+00       1.142029e-02       9.081919e-03       9.916138e-03
         550       3.390246e+00       8.147672e-01       1.356304e+00       1.293975e-02       9.964385e-03       1.170156e-02
