#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.137063e+00       4.751558e-01       8.595810e-01       1.441845e-02       6.762712e-03       1.001048e-02
          10       2.132294e+00       4.416186e-01       8.591843e-01       3.431418e-02       8.097575e-03       1.770539e-02
          20       2.158788e+00       4.404227e-01       8.703375e-01       4.191804e-02       9.456205e-03       2.071452e-02
          30       2.213214e+00       4.814155e-01       8.911871e-01       3.674708e-02       7.484068e-03       1.810720e-02
          40       2.248066e+00       4.866927e-01       9.047090e-01       5.340344e-02       1.293783e-02       2.469824e-02
          50       2.275334e+00       4.918695e-01       9.151588e-01       1.965881e-02       5.370016e-03       9.902613e-03
          60       2.241480e+00       4.580979e-01       9.017673e-01       3.737841e-02       1.203735e-02       1.874756e-02
          70       2.210969e+00       4.893911e-01       8.874462e-01       9.334227e-03       4.889860e-03       6.690853e-03
          80       2.153982e+00       4.958287e-01       8.633402e-01       3.032796e-02       1.343418e-02       1.828535e-02
          90       2.140495e+00       4.975548e-01       8.571566e-01       1.064231e-02       7.243150e-03       9.013399e-03
         100       2.134699e+00       4.857793e-01       8.550431e-01       2.009268e-02       5.436337e-03       1.143488e-02
         110       2.161143e+00       4.918774e-01       8.654824e-01       1.850201e-02       5.500889e-03       9.565944e-03
         120       2.206144e+00       5.181172e-01       8.829421e-01       1.079699e-02       4.524837e-03       7.119971e-03
         130       2.238411e+00       5.233533e-01       8.957284e-01       2.290460e-02       6.116988e-03       1.121764e-02
         140       2.269545e+00       5.345935e-01       9.081740e-01       5.228982e-03       4.203052e-03       4.719420e-03
         150       2.256482e+00       5.388436e-01       9.029791e-01       2.752612e-02       7.058076e-03       1.215825e-02
         160       2.241291e+00       5.282822e-01       8.970360e-01       5.800111e-03       4.057402e-03       4.802558e-03
         170       2.197586e+00       5.092022e-01       8.799896e-01       2.327160e-02       7.701589e-03       1.240714e-02
         180       2.174437e+00       4.826016e-01       8.713345e-01       8.748209e-03       5.228802e-03       7.060790e-03
         190       2.154661e+00       4.617028e-01       8.641175e-01       1.742037e-02       5.599694e-03       1.041651e-02
         200       2.156528e+00       4.625568e-01       8.648765e-01       1.765587e-02       6.033024e-03       1.019109e-02
         210       2.182260e+00       4.764136e-01       8.748030e-01       1.030786e-02       4.046004e-03       6.614189e-03
         220       2.208163e+00       4.782476e-01       8.855016e-01       2.148677e-02       7.180987e-03       1.206186e-02
         230       2.254154e+00       4.649741e-01       9.049314e-01       9.169580e-03       5.996370e-03       6.991690e-03
         240       2.265216e+00       4.502220e-01       9.102448e-01       2.814935e-02       5.134442e-03       1.446290e-02
         250       2.275402e+00       4.501809e-01       9.149288e-01       1.173477e-02       3.907311e-03       7.546453e-03
         260       2.231121e+00       4.396536e-01       8.987905e-01       5.071659e-02       1.006122e-02       2.680104e-02
         270       2.194242e+00       4.145062e-01       8.872414e-01       6.117413e-02       1.157389e-02       3.207758e-02
         280       2.148422e+00       3.925872e-01       8.734990e-01       1.006358e-01       1.614473e-02       5.066381e-02
         290       2.135352e+00       3.928068e-01       8.683691e-01       1.086886e-01       1.197908e-02       5.345117e-02
         300       2.163437e+00       4.167834e-01       8.744323e-01       5.709521e-02       5.622498e-03       2.978172e-02
         310       2.200636e+00       4.540289e-01       8.853506e-01       4.218160e-02       1.351447e-02       2.539878e-02
         320       2.271241e+00       4.934739e-01       9.113919e-01       9.073229e-03       5.767767e-03       7.259814e-03
         330       2.273541e+00       5.052569e-01       9.107104e-01       5.439438e-02       6.421310e-03       2.504540e-02
         340       2.263558e+00       5.128710e-01       9.063476e-01       5.154847e-03       3.134060e-03       4.151438e-03
         350       2.192351e+00       4.910942e-01       8.788995e-01       4.439433e-02       7.338005e-03       2.453945e-02
         360       2.161915e+00       4.714488e-01       8.667692e-01       1.330355e-02       7.399476e-03       9.709480e-03
         370       2.122986e+00       4.548588e-01       8.515283e-01       2.673713e-02       1.178100e-02       1.844899e-02
         380       2.130808e+00       4.667478e-01       8.544864e-01       1.312895e-02       6.995421e-03       9.398746e-03
         390       2.154482e+00       4.811656e-01       8.647681e-01       2.719528e-02       4.878449e-03       1.262409e-02
         400       2.197433e+00       4.802890e-01       8.829353e-01       2.677065e-02       4.455958e-03       1.452216e-02
         410       2.251756e+00       4.671860e-01       9.050880e-01       1.653954e-02       5.539200e-03       9.811729e-03
         420       2.265617e+00       4.688009e-01       9.109641e-01       4.126555e-02       1.277944e-02       2.012445e-02
         430       2.264140e+00       4.896907e-01       9.101508e-01       1.849004e-02       4.053911e-03       9.271952e-03
         440       2.218157e+00       4.713364e-01       8.923110e-01       3.492685e-02       6.239836e-03       1.827634e-02
         450       2.190497e+00       4.672562e-01       8.809745e-01       1.801207e-02       5.638870e-03       1.041810e-02
         460       2.152123e+00       4.480548e-01       8.659761e-01       2.806718e-02       8.314027e-03       1.695507e-02
         470       2.146388e+00       4.604076e-01       8.630525e-01       1.289617e-02       6.459197e-03       9.793774e-03
         480       2.153454e+00       4.702664e-01       8.659150e-01       2.722875e-02       8.084303e-03       1.255079e-02
         490       2.181532e+00       4.670713e-01       8.770928e-01       2.806145e-02       8.135242e-03       1.415319e-02
         500       2.230954e+00       4.825607e-01       8.959845e-01       1.281540e-02       5.652418e-03       8.518801e-03
         510       2.255937e+00       4.899471e-01       9.054348e-01       3.625550e-02       1.067017e-02       1.766648e-02
         520       2.276450e+00       5.191064e-01       9.126079e-01       6.826697e-03       4.260651e-03       5.123450e-03
         530       2.226694e+00       4.714296e-01       8.922921e-01       3.102941e-02       1.234569e-02       2.047080e-02
         540       2.186178e+00       5.177549e-01       8.751166e-01       9.164546e-03       5.577008e-03       7.487771e-03
         550       2.107344e+00       4.408289e-01       8.466002e-01       3.433933e-02       2.152674e-02       2.832284e-02
         560       2.108192e+00       4.000635e-01       8.541921e-01       1.042149e-01       2.328166e-02       5.337468e-02
         570       2.128155e+00       3.865002e-01       8.681897e-01       1.187272e-01       2.241283e-02       6.409333e-02
         580       2.210095e+00       3.983597e-01       8.975684e-01       7.818046e-02       1.479149e-02       4.399337e-02
         590       2.291777e+00       4.288224e-01       9.250831e-01       4.236584e-02       1.854989e-02       2.866267e-02
         600       2.307020e+00       4.440653e-01       9.290534e-01       3.425587e-02       1.582639e-02       2.661037e-02
         610       2.269923e+00       4.327219e-01       9.141224e-01       2.811223e-02       6.935098e-03       1.594472e-02
         620       2.194344e+00       4.342062e-01       8.828547e-01       3.013511e-02       1.288337e-02       2.108125e-02
         630       2.158418e+00       4.623100e-01       8.657951e-01       1.878283e-02       5.848032e-03       1.004053e-02
         640       2.118810e+00       4.753379e-01       8.492727e-01       2.804372e-02       1.108334e-02       1.791698e-02
         650       2.139562e+00       4.730911e-01       8.574228e-01       1.468636e-02       7.324793e-03       1.140992e-02
         660       2.159552e+00       4.803492e-01       8.651931e-01       1.086227e-02       6.548941e-03       8.944883e-03
         670       2.211132e+00       5.215247e-01       8.848908e-01       8.545436e-03       3.773662e-03       5.707477e-03
         680       2.252585e+00       5.212924e-01       9.015339e-01       9.011276e-03       3.619418e-03       6.347987e-03
         690       2.276195e+00       5.130273e-01       9.115129e-01       1.079640e-02       5.075118e-03       8.233887e-03
         700       2.271913e+00       5.229301e-01       9.098318e-01       1.333386e-02       4.287123e-03       7.775218e-03
         710       2.226909e+00       4.972993e-01       8.921469e-01       2.068307e-02       6.724230e-03       1.189638e-02
         720       2.188954e+00       4.970889e-01       8.775982e-01       6.739087e-03       2.791909e-03       4.506363e-03
         730       2.141480e+00       4.567567e-01       8.596594e-01       3.511256e-02       9.029137e-03       1.659891e-02
         740       2.140174e+00       4.791516e-01       8.582851e-01       1.098031e-02       6.764732e-03       9.101455e-03
         750       2.143132e+00       4.817778e-01       8.592013e-01       2.126730e-02       9.457153e-03       1.381246e-02
         760       2.178333e+00       4.829709e-01       8.740751e-01       9.686079e-03       4.983670e-03       7.275356e-03
         770       2.218247e+00       4.627129e-01       8.920148e-01       2.920871e-02       6.344289e-03       1.497455e-02
         780       2.259219e+00       4.530761e-01       9.100232e-01       5.600599e-02       1.063460e-02       2.533777e-02
         790       2.286596e+00       4.995736e-01       9.200554e-01       1.860640e-02       7.701035e-03       1.206492e-02
         800       2.246649e+00       4.725210e-01       9.041454e-01       5.083536e-02       1.557665e-02       2.471914e-02
         810       2.191111e+00       4.597152e-01       8.825333e-01       2.832436e-02       7.543086e-03       1.467592e-02
         820       2.103467e+00       4.148990e-01       8.481517e-01       9.966727e-02       2.677565e-02       4.548888e-02
         830       2.100294e+00       4.613040e-01       8.424713e-01       2.274396e-02       9.894528e-03       1.791309e-02
         840       2.104863e+00       4.814006e-01       8.427889e-01       5.574302e-02       1.629072e-02       2.950306e-02
         850       2.180890e+00       4.992634e-01       8.730307e-01       7.307945e-03       4.430717e-03       5.954492e-03
         860       2.228902e+00       5.090977e-01       8.922015e-01       4.327070e-02       1.222629e-02       2.529684e-02
         870       2.286612e+00       5.406855e-01       9.150548e-01       2.240807e-02       8.018816e-03       1.278431e-02
         880       2.288806e+00       4.830616e-01       9.175215e-01       2.616793e-02       8.380698e-03       1.414920e-02
         890       2.247166e+00       4.522615e-01       9.025366e-01       2.529884e-02       5.550424e-03       1.364642e-02
         900       2.188793e+00       4.345478e-01       8.805912e-01       2.660873e-02       6.968191e-03       1.532721e-02
         910       2.138918e+00       4.158633e-01       8.629619e-01       6.122425e-02       7.403212e-03       3.356545e-02
         920       2.139196e+00       4.086152e-01       8.644300e-01       7.382655e-02       1.558511e-02       3.614613e-02
         930       2.145759e+00       4.135817e-01       8.661761e-01       5.010414e-02       1.611579e-02       2.906884e-02
         940       2.203450e+00       4.263655e-01       8.877422e-01       3.688733e-02       6.092656e-03       1.871755e-02
         950       2.239491e+00       4.371603e-01       9.010357e-01       3.202075e-02       1.260932e-02       1.922676e-02
         960       2.283813e+00       4.497994e-01       9.179479e-01       1.267663e-02       3.614814e-03       8.608856e-03
         970       2.285187e+00       4.566391e-01       9.182648e-01       2.076915e-02       1.118532e-02       1.401531e-02
         980       2.260704e+00       4.551094e-01       9.081789e-01       1.658868e-02       5.404566e-03       1.032767e-02
         990       2.211154e+00       4.436182e-01       8.884804e-01       1.789420e-02       4.037609e-03       9.867004e-03
        1000       2.157460e+00       4.337503e-01       8.675292e-01       2.847246e-02       9.763386e-03       1.824578e-02
