# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    7.44e+01  7.76e+01    6.82e+00  6.81e+00    2.35e+00  2.45e+00    1.0e-03
   1000    2.63e+00  2.38e+00    1.01e-01  1.00e-01    9.42e-02  8.52e-02    7.7e-04
   2000    1.88e+00  1.41e+00    1.15e-02  1.18e-02    7.68e-02  5.77e-02    6.0e-04
   3000    1.46e+00  1.40e+00    4.04e-02  4.07e-02    6.77e-02  6.50e-02    4.6e-04
   4000    1.01e+00  8.75e-01    2.02e-02  2.06e-02    5.30e-02  4.61e-02    3.6e-04
   5000    7.02e-01  5.59e-01    3.59e-02  3.62e-02    4.17e-02  3.30e-02    2.8e-04
   6000    5.58e-01  4.54e-01    7.45e-02  7.48e-02    3.53e-02  2.74e-02    2.1e-04
   7000    3.74e-01  3.24e-01    1.59e-02  1.60e-02    2.87e-02  2.48e-02    1.7e-04
   8000    2.98e-01  2.65e-01    3.17e-03  3.07e-03    2.62e-02  2.33e-02    1.3e-04
   9000    3.39e-01  2.48e-01    8.40e-04  7.17e-04    3.39e-02  2.47e-02    9.9e-05
  10000    1.80e-01  1.38e-01    1.35e-03  1.33e-03    2.04e-02  1.56e-02    7.7e-05
  11000    1.54e-01  1.38e-01    4.88e-03  4.80e-03    1.97e-02  1.76e-02    6.0e-05
  12000    2.02e-01  1.70e-01    6.06e-03  6.14e-03    2.94e-02  2.46e-02    4.6e-05
  13000    1.10e-01  1.04e-01    2.35e-03  2.35e-03    1.81e-02  1.71e-02    3.6e-05
  14000    9.35e-02  6.49e-02    2.06e-03  2.13e-03    1.75e-02  1.21e-02    2.8e-05
  15000    8.21e-02  7.69e-02    1.18e-04  1.43e-04    1.74e-02  1.63e-02    2.1e-05
  16000    7.14e-02  7.42e-02    1.13e-04  1.36e-04    1.71e-02  1.77e-02    1.7e-05
  17000    9.76e-02  8.12e-02    3.32e-04  2.84e-04    2.63e-02  2.19e-02    1.3e-05
  18000    5.51e-02  4.61e-02    5.42e-04  5.18e-04    1.67e-02  1.40e-02    9.9e-06
  19000    4.85e-02  5.14e-02    1.37e-04  1.10e-04    1.65e-02  1.75e-02    7.7e-06
  20000    4.33e-02  4.10e-02    7.40e-04  8.47e-04    1.64e-02  1.55e-02    5.9e-06
  21000    3.89e-02  3.42e-02    1.64e-03  1.68e-03    1.63e-02  1.43e-02    4.6e-06
  22000    3.48e-02  3.08e-02    4.50e-05  1.04e-04    1.63e-02  1.44e-02    3.5e-06
  23000    3.14e-02  2.75e-02    2.70e-04  3.17e-04    1.62e-02  1.42e-02    2.7e-06
  24000    2.86e-02  2.34e-02    4.73e-04  4.61e-04    1.62e-02  1.32e-02    2.1e-06
  25000    2.64e-02  2.44e-02    4.15e-05  9.38e-05    1.62e-02  1.50e-02    1.6e-06
  26000    2.44e-02  2.35e-02    5.50e-04  5.61e-04    1.61e-02  1.56e-02    1.3e-06
  27000    2.27e-02  2.05e-02    4.34e-04  3.54e-04    1.61e-02  1.45e-02    9.8e-07
  28000    2.14e-02  2.13e-02    4.47e-04  4.55e-04    1.61e-02  1.60e-02    7.6e-07
  29000    2.02e-02  1.60e-02    1.21e-04  1.10e-04    1.60e-02  1.27e-02    5.9e-07
  30000    1.94e-02  1.71e-02    1.41e-04  1.84e-04    1.60e-02  1.42e-02    4.6e-07
  31000    1.87e-02  1.47e-02    3.08e-04  2.77e-04    1.61e-02  1.26e-02    3.5e-07
  32000    1.81e-02  1.55e-02    1.46e-04  1.55e-04    1.60e-02  1.37e-02    2.7e-07
  33000    1.77e-02  1.34e-02    2.62e-04  3.14e-04    1.60e-02  1.22e-02    2.1e-07
  34000    1.73e-02  1.80e-02    5.57e-05  8.36e-05    1.60e-02  1.67e-02    1.6e-07
  35000    1.70e-02  1.69e-02    9.97e-05  1.98e-04    1.60e-02  1.59e-02    1.3e-07
  36000    1.68e-02  1.67e-02    5.12e-05  4.93e-05    1.60e-02  1.60e-02    9.8e-08
  37000    1.66e-02  1.58e-02    5.33e-05  1.44e-04    1.60e-02  1.52e-02    7.6e-08
  38000    1.65e-02  1.42e-02    6.71e-05  7.32e-05    1.60e-02  1.38e-02    5.9e-08
  39000    1.64e-02  1.36e-02    7.02e-05  1.09e-04    1.60e-02  1.33e-02    4.5e-08
  40000    1.63e-02  1.65e-02    5.52e-05  1.10e-04    1.60e-02  1.62e-02    3.5e-08
