#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       3.345594e+00       8.195331e-01       1.338400e+00       1.515108e-02       5.945811e-03       1.157144e-02
          10       3.397510e+00       8.325932e-01       1.359188e+00       1.798064e-02       8.488392e-03       1.283668e-02
          20       3.467806e+00       8.476491e-01       1.387217e+00       7.724272e-03       3.211740e-03       5.024607e-03
          30       3.537218e+00       8.669036e-01       1.414936e+00       2.336014e-02       7.010456e-03       1.423230e-02
          40       3.579414e+00       8.754729e-01       1.431722e+00       3.345992e-02       2.072507e-02       2.585636e-02
          50       3.574869e+00       8.730736e-01       1.429936e+00       2.972804e-02       1.735414e-02       2.391057e-02
          60       3.528407e+00       8.631442e-01       1.411417e+00       1.889905e-02       7.989438e-03       1.256714e-02
          70       3.459464e+00       8.503487e-01       1.383817e+00       5.392137e-03       3.358133e-03       4.303632e-03
          80       3.390246e+00       8.337527e-01       1.356203e+00       2.047868e-02       8.671389e-03       1.388734e-02
          90       3.344516e+00       8.202416e-01       1.337910e+00       1.506016e-02       5.450783e-03       1.060698e-02
         100       3.325603e+00       8.200586e-01       1.330472e+00       3.295156e-02       1.631179e-02       2.329767e-02
         110       3.352014e+00       8.252425e-01       1.340922e+00       1.455896e-02       6.368090e-03       1.036199e-02
         120       3.405909e+00       8.415820e-01       1.362399e+00       1.256962e-02       6.795341e-03       9.629252e-03
         130       3.471461e+00       8.514897e-01       1.388638e+00       6.203310e-03       3.841901e-03       4.978826e-03
         140       3.532181e+00       8.661323e-01       1.412936e+00       1.530260e-02       5.587783e-03       9.652132e-03
         150       3.565800e+00       8.776961e-01       1.426285e+00       2.493861e-02       1.581386e-02       2.096545e-02
         160       3.559449e+00       8.758372e-01       1.423775e+00       1.986083e-02       1.109079e-02       1.537290e-02
         170       3.518404e+00       8.650548e-01       1.407404e+00       2.322292e-02       4.966489e-03       1.094728e-02
         180       3.459795e+00       8.476708e-01       1.383974e+00       5.258759e-03       4.008481e-03       4.419479e-03
         190       3.399517e+00       8.387521e-01       1.359885e+00       1.668200e-02       6.909226e-03       1.102452e-02
         200       3.357994e+00       8.307200e-01       1.343276e+00       1.190331e-02       5.344228e-03       8.876132e-03
         210       3.342976e+00       8.259341e-01       1.337277e+00       2.216107e-02       8.481102e-03       1.395687e-02
         220       3.362832e+00       8.249683e-01       1.345219e+00       1.674072e-02       6.888429e-03       1.154526e-02
         230       3.410805e+00       8.335802e-01       1.364415e+00       9.912461e-03       3.775021e-03       5.966192e-03
         240       3.471799e+00       8.536753e-01       1.388823e+00       1.096985e-02       3.175216e-03       6.058043e-03
         250       3.536394e+00       8.675548e-01       1.414616e+00       2.105649e-02       6.014473e-03       1.173349e-02
         260       3.580259e+00       8.762353e-01       1.432011e+00       4.381176e-02       2.145246e-02       3.297216e-02
         270       3.579000e+00       8.700963e-01       1.431589e+00       2.961162e-02       1.638079e-02       2.128895e-02
         280       3.528817e+00       8.625223e-01       1.411603e+00       2.038605e-02       9.803149e-03       1.448770e-02
