#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       3.404346e+00       8.192865e-01       1.362080e+00       1.447687e-02       1.124356e-02       1.272686e-02
          10       3.394776e+00       8.110761e-01       1.358443e+00       1.434569e-02       6.025400e-03       9.348842e-03
          20       3.406443e+00       8.156331e-01       1.363131e+00       2.632018e-02       1.171034e-02       1.716661e-02
          30       3.435830e+00       8.246238e-01       1.374796e+00       1.249938e-02       7.975341e-03       1.103277e-02
          40       3.469492e+00       8.277890e-01       1.388247e+00       1.046408e-02       6.443720e-03       9.440159e-03
          50       3.498410e+00       8.217891e-01       1.400101e+00       1.095681e-02       4.564077e-03       8.525887e-03
          60       3.509417e+00       8.172606e-01       1.404853e+00       2.010691e-02       1.435763e-02       1.642748e-02
          70       3.492970e+00       8.145470e-01       1.398365e+00       1.855452e-02       1.226723e-02       1.482598e-02
          80       3.455670e+00       7.996952e-01       1.383483e+00       1.296456e-02       8.648328e-03       1.153296e-02
          90       3.417739e+00       7.837593e-01       1.368594e+00       1.829292e-02       9.239280e-03       1.493072e-02
         100       3.390495e+00       7.622805e-01       1.358460e+00       3.625591e-02       1.673610e-02       2.549846e-02
         110       3.385595e+00       7.549655e-01       1.357007e+00       4.370386e-02       1.765777e-02       2.604237e-02
         120       3.416465e+00       7.729967e-01       1.368872e+00       1.943377e-02       1.045946e-02       1.404756e-02
         130       3.466695e+00       7.911200e-01       1.388652e+00       3.111339e-02       1.486351e-02       2.191305e-02
         140       3.513755e+00       8.093687e-01       1.407350e+00       5.235380e-02       1.482452e-02       3.111274e-02
         150       3.519315e+00       8.096386e-01       1.409349e+00       5.046078e-02       1.726809e-02       3.158619e-02
         160       3.481432e+00       8.146438e-01       1.393608e+00       1.198287e-02       8.252015e-03       1.055816e-02
         170       3.435549e+00       8.241202e-01       1.374716e+00       1.382943e-02       8.119404e-03       1.139694e-02
         180       3.400747e+00       8.302110e-01       1.360600e+00       2.121074e-02       1.418865e-02       1.823816e-02
         190       3.387936e+00       8.288034e-01       1.355371e+00       1.414569e-02       9.790039e-03       1.241334e-02
         200       3.399720e+00       8.269453e-01       1.360056e+00       1.126275e-02       7.681111e-03       9.449007e-03
         210       3.431051e+00       8.443788e-01       1.372511e+00       1.233993e-02       5.749222e-03       1.042494e-02
         220       3.467177e+00       8.504725e-01       1.386993e+00       1.378378e-02       8.782111e-03       1.176099e-02
         230       3.494385e+00       8.593866e-01       1.397902e+00       9.690880e-03       7.161953e-03       8.294704e-03
         240       3.502224e+00       8.622357e-01       1.401014e+00       1.173365e-02       5.077549e-03       8.263278e-03
         250       3.488224e+00       8.564522e-01       1.395498e+00       1.172349e-02       9.704124e-03       1.082704e-02
         260       3.460334e+00       8.430864e-01       1.384451e+00       1.266490e-02       8.913434e-03       1.162876e-02
         270       3.427310e+00       8.210861e-01       1.371317e+00       1.651092e-02       8.578700e-03       1.132755e-02
         280       3.404604e+00       8.116455e-01       1.362247e+00       1.045231e-02       7.106172e-03       8.993606e-03
         290       3.398907e+00       8.191083e-01       1.359873e+00       1.730114e-02       1.062418e-02       1.530744e-02
         300       3.412255e+00       8.215681e-01       1.365211e+00       1.445661e-02       1.055072e-02       1.217716e-02
         310       3.441659e+00       8.238871e-01       1.377122e+00       1.239778e-02       6.492590e-03       8.624904e-03
