#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       3.444140e+00       8.123872e-01       1.378318e+00       1.416399e-02       9.333278e-03       1.238583e-02
          10       3.440001e+00       8.103449e-01       1.376773e+00       1.661325e-02       1.317810e-02       1.560058e-02
          20       3.439911e+00       7.968310e-01       1.377003e+00       1.874277e-02       1.128923e-02       1.625603e-02
          30       3.441581e+00       8.001505e-01       1.377507e+00       1.506709e-02       5.489716e-03       1.161543e-02
          40       3.453131e+00       8.130530e-01       1.381839e+00       1.281190e-02       8.814585e-03       1.017450e-02
          50       3.464375e+00       8.162270e-01       1.386412e+00       2.022778e-02       1.393277e-02       1.636314e-02
          60       3.470397e+00       8.124041e-01       1.388961e+00       1.675733e-02       5.070551e-03       1.389749e-02
          70       3.467123e+00       8.004030e-01       1.387811e+00       1.660160e-02       1.183687e-02       1.391660e-02
          80       3.459573e+00       8.048614e-01       1.384584e+00       1.114924e-02       6.341150e-03       9.690820e-03
          90       3.451497e+00       8.093109e-01       1.381241e+00       1.966737e-02       1.288092e-02       1.656919e-02
         100       3.444391e+00       8.076486e-01       1.378484e+00       1.768169e-02       1.135950e-02       1.606508e-02
         110       3.437190e+00       7.959163e-01       1.375736e+00       1.433093e-02       7.517010e-03       1.212266e-02
         120       3.439469e+00       7.951578e-01       1.376630e+00       1.124694e-02       6.618144e-03       9.357373e-03
         130       3.451227e+00       8.086569e-01       1.381121e+00       1.713321e-02       1.106077e-02       1.535624e-02
         140       3.460814e+00       8.138643e-01       1.384869e+00       1.935005e-02       1.472105e-02       1.692157e-02
         150       3.468273e+00       8.124586e-01       1.387864e+00       9.686351e-03       6.433006e-03       8.686674e-03
         160       3.471141e+00       8.055515e-01       1.389147e+00       1.135343e-02       1.029086e-02       1.075407e-02
         170       3.469743e+00       8.091446e-01       1.388540e+00       1.433778e-02       7.820598e-03       1.236748e-02
         180       3.462652e+00       8.134421e-01       1.385556e+00       1.469677e-02       9.441044e-03       1.254728e-02
         190       3.450843e+00       8.109192e-01       1.380785e+00       1.124423e-02       7.388182e-03       9.917529e-03
         200       3.441988e+00       8.006588e-01       1.377437e+00       9.812751e-03       4.565212e-03       7.991733e-03
         210       3.440720e+00       7.936331e-01       1.377165e+00       1.736253e-02       5.662773e-03       1.375187e-02
         220       3.443677e+00       7.998254e-01       1.378225e+00       1.851806e-02       1.174463e-02       1.620835e-02
