#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.243494e+00       4.722519e-01       9.010043e-01       1.450789e-02       4.519346e-03       8.514292e-03
          10       2.232078e+00       4.530212e-01       8.982077e-01       1.533299e-02       5.895649e-03       1.117512e-02
          20       2.215595e+00       4.606717e-01       8.916033e-01       1.253253e-02       8.823696e-03       1.082330e-02
          30       2.195581e+00       4.694751e-01       8.823982e-01       1.811080e-02       7.628993e-03       1.057384e-02
          40       2.175879e+00       4.606431e-01       8.747418e-01       1.496272e-02       4.767560e-03       9.178576e-03
          50       2.170380e+00       4.404673e-01       8.747697e-01       2.336429e-02       8.353747e-03       1.443338e-02
          60       2.173748e+00       4.328959e-01       8.777942e-01       3.782524e-02       1.181219e-02       2.109476e-02
          70       2.202312e+00       4.508890e-01       8.873273e-01       1.654028e-02       5.096819e-03       1.037682e-02
          80       2.222700e+00       4.679243e-01       8.942121e-01       2.267141e-02       6.875002e-03       1.165463e-02
          90       2.242777e+00       4.639394e-01       9.035559e-01       2.988471e-02       4.129222e-03       1.448420e-02
         100       2.234240e+00       4.461654e-01       9.024768e-01       4.001372e-02       1.388681e-02       2.495758e-02
         110       2.222628e+00       4.434930e-01       8.979125e-01       2.788446e-02       9.550086e-03       1.744878e-02
         120       2.194609e+00       4.549719e-01       8.845827e-01       2.840435e-02       1.041334e-02       1.663728e-02
         130       2.168626e+00       4.673823e-01       8.734282e-01       1.047547e-02       7.741415e-03       8.546177e-03
         140       2.148264e+00       4.293833e-01       8.668326e-01       4.807206e-02       7.185443e-03       2.225041e-02
         150       2.148295e+00       4.224073e-01       8.663657e-01       5.682042e-02       1.104234e-02       2.723636e-02
         160       2.188073e+00       4.767618e-01       8.776966e-01       8.796490e-03       6.121550e-03       7.326640e-03
         170       2.217009e+00       5.066417e-01       8.877069e-01       3.145581e-02       8.816893e-03       1.615257e-02
         180       2.244020e+00       4.835555e-01       8.992174e-01       1.395725e-02       5.150193e-03       9.512183e-03
         190       2.232635e+00       4.568616e-01       8.958508e-01       2.589974e-02       6.067307e-03       1.409545e-02
         200       2.225756e+00       4.938288e-01       8.921431e-01       9.194516e-03       4.891662e-03       6.732921e-03
         210       2.200273e+00       4.936146e-01       8.816440e-01       2.237333e-02       7.490004e-03       1.280161e-02
         220       2.187268e+00       4.853145e-01       8.769646e-01       6.379123e-03       4.887773e-03       5.926264e-03
         230       2.172748e+00       4.742536e-01       8.719572e-01       1.878095e-02       6.129750e-03       9.203297e-03
