# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.06e+02  1.10e+02    5.02e+00  4.99e+00    3.35e+00  3.46e+00    1.0e-03
   1000    4.94e+00  5.26e+00    1.48e-01  1.48e-01    1.77e-01  1.89e-01    7.7e-04
   2000    2.79e+00  2.64e+00    1.90e-02  1.89e-02    1.14e-01  1.08e-01    6.0e-04
   3000    1.60e+00  1.54e+00    3.67e-02  3.68e-02    7.40e-02  7.15e-02    4.6e-04
   4000    1.36e+00  1.47e+00    1.23e-02  1.22e-02    7.15e-02  7.76e-02    3.6e-04
   5000    1.22e+00  1.10e+00    1.88e-03  1.80e-03    7.33e-02  6.59e-02    2.8e-04
   6000    9.49e-01  9.89e-01    9.12e-03  9.22e-03    6.46e-02  6.74e-02    2.1e-04
   7000    7.92e-01  7.14e-01    5.84e-03  5.60e-03    6.13e-02  5.52e-02    1.7e-04
   8000    7.74e-01  8.11e-01    1.38e-02  1.35e-02    6.80e-02  7.12e-02    1.3e-04
   9000    4.76e-01  5.70e-01    5.39e-04  1.04e-03    4.75e-02  5.69e-02    9.9e-05
  10000    3.67e-01  3.68e-01    1.85e-03  1.90e-03    4.15e-02  4.17e-02    7.7e-05
  11000    2.85e-01  2.84e-01    3.21e-03  3.16e-03    3.66e-02  3.66e-02    6.0e-05
  12000    2.27e-01  2.32e-01    1.10e-02  1.10e-02    3.27e-02  3.35e-02    4.6e-05
  13000    1.76e-01  1.79e-01    2.65e-03  2.66e-03    2.90e-02  2.95e-02    3.6e-05
  14000    1.43e-01  1.51e-01    8.69e-03  8.71e-03    2.63e-02  2.78e-02    2.8e-05
  15000    1.13e-01  1.22e-01    1.15e-03  1.20e-03    2.38e-02  2.58e-02    2.1e-05
  16000    9.57e-02  1.13e-01    3.96e-04  4.27e-04    2.29e-02  2.69e-02    1.7e-05
  17000    7.87e-02  9.37e-02    2.86e-03  2.78e-03    2.11e-02  2.52e-02    1.3e-05
  18000    6.57e-02  7.71e-02    9.16e-04  9.67e-04    1.99e-02  2.33e-02    9.9e-06
  19000    5.90e-02  7.50e-02    3.69e-03  3.70e-03    1.97e-02  2.52e-02    7.7e-06
  20000    4.92e-02  5.89e-02    1.67e-03  1.64e-03    1.86e-02  2.23e-02    5.9e-06
  21000    4.26e-02  5.82e-02    1.31e-04  1.85e-04    1.80e-02  2.46e-02    4.6e-06
  22000    3.88e-02  4.88e-02    6.55e-04  6.53e-04    1.82e-02  2.29e-02    3.5e-06
  23000    3.32e-02  4.54e-02    4.59e-04  3.98e-04    1.72e-02  2.35e-02    2.7e-06
  24000    3.11e-02  3.86e-02    1.68e-04  1.49e-04    1.76e-02  2.18e-02    2.1e-06
  25000    2.72e-02  2.61e-02    3.22e-04  2.70e-04    1.67e-02  1.61e-02    1.6e-06
  26000    2.59e-02  3.61e-02    2.94e-04  3.31e-04    1.72e-02  2.40e-02    1.3e-06
  27000    2.33e-02  3.24e-02    5.42e-04  5.63e-04    1.65e-02  2.30e-02    9.8e-07
  28000    2.17e-02  2.82e-02    3.99e-04  4.51e-04    1.63e-02  2.12e-02    7.6e-07
  29000    2.10e-02  2.27e-02    5.35e-04  5.23e-04    1.66e-02  1.79e-02    5.9e-07
  30000    2.00e-02  2.64e-02    2.67e-04  2.73e-04    1.66e-02  2.18e-02    4.6e-07
  31000    1.90e-02  2.54e-02    1.23e-04  1.52e-04    1.63e-02  2.19e-02    3.5e-07
  32000    5.05e-02  4.61e-02    3.85e-04  3.65e-04    4.47e-02  4.09e-02    2.7e-07
  33000    1.81e-02  2.29e-02    4.26e-04  4.47e-04    1.64e-02  2.08e-02    2.1e-07
  34000    1.75e-02  1.99e-02    1.34e-04  1.38e-04    1.62e-02  1.85e-02    1.6e-07
  35000    1.72e-02  2.44e-02    1.61e-04  1.92e-04    1.62e-02  2.30e-02    1.3e-07
  36000    1.71e-02  2.36e-02    1.11e-04  1.56e-04    1.63e-02  2.26e-02    9.8e-08
  37000    1.68e-02  2.22e-02    1.87e-04  2.24e-04    1.62e-02  2.14e-02    7.6e-08
  38000    1.68e-02  2.05e-02    2.05e-04  1.80e-04    1.63e-02  2.00e-02    5.9e-08
  39000    4.58e-02  4.22e-02    4.22e-04  3.10e-04    4.48e-02  4.12e-02    4.5e-08
  40000    1.65e-02  2.10e-02    1.21e-04  1.83e-04    1.62e-02  2.07e-02    3.5e-08
