# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    9.30e+01  1.07e+02    9.67e+00  9.59e+00    2.94e+00  3.37e+00    1.0e-03
   1000    1.72e+00  2.25e+00    7.54e-02  7.49e-02    6.15e-02  8.07e-02    7.7e-04
   2000    1.29e+00  1.61e+00    2.28e-02  2.30e-02    5.25e-02  6.59e-02    6.0e-04
   3000    1.20e+00  1.18e+00    3.90e-02  3.93e-02    5.54e-02  5.44e-02    4.6e-04
   4000    8.02e-01  1.07e+00    3.90e-02  3.92e-02    4.20e-02  5.65e-02    3.6e-04
   5000    5.17e-01  6.39e-01    7.57e-03  7.78e-03    3.10e-02  3.83e-02    2.8e-04
   6000    3.90e-01  4.47e-01    1.21e-02  1.24e-02    2.65e-02  3.03e-02    2.1e-04
   7000    2.86e-01  3.08e-01    1.02e-02  1.01e-02    2.20e-02  2.37e-02    1.7e-04
   8000    1.99e-01  2.86e-01    1.50e-02  1.50e-02    1.71e-02  2.49e-02    1.3e-04
   9000    1.49e-01  2.29e-01    3.04e-03  2.90e-03    1.48e-02  2.29e-02    9.9e-05
  10000    1.39e-01  1.87e-01    6.96e-03  7.03e-03    1.56e-02  2.11e-02    7.7e-05
  11000    1.08e-01  1.46e-01    8.32e-03  8.29e-03    1.35e-02  1.84e-02    6.0e-05
  12000    8.37e-02  1.28e-01    9.17e-03  9.20e-03    1.15e-02  1.83e-02    4.6e-05
  13000    7.14e-02  1.11e-01    3.68e-03  3.73e-03    1.16e-02  1.82e-02    3.6e-05
  14000    8.84e-02  1.05e-01    1.43e-02  1.45e-02    1.43e-02  1.77e-02    2.8e-05
  15000    5.56e-02  7.23e-02    2.86e-03  2.93e-03    1.16e-02  1.52e-02    2.1e-05
  16000    4.34e-02  6.21e-02    3.22e-03  3.25e-03    1.01e-02  1.46e-02    1.7e-05
  17000    3.68e-02  6.18e-02    1.33e-03  1.29e-03    9.86e-03  1.66e-02    1.3e-05
  18000    3.34e-02  4.99e-02    5.79e-04  5.83e-04    1.01e-02  1.51e-02    9.9e-06
  19000    3.19e-02  4.31e-02    2.50e-03  2.52e-03    1.05e-02  1.44e-02    7.7e-06
  20000    2.76e-02  3.81e-02    3.72e-04  3.60e-04    1.05e-02  1.45e-02    5.9e-06
  21000    2.34e-02  3.16e-02    4.88e-04  4.64e-04    9.90e-03  1.34e-02    4.6e-06
  22000    2.16e-02  2.80e-02    4.73e-04  4.94e-04    1.01e-02  1.31e-02    3.5e-06
  23000    1.98e-02  2.90e-02    1.24e-03  1.24e-03    1.00e-02  1.48e-02    2.7e-06
  24000    1.74e-02  1.91e-02    3.68e-04  3.93e-04    9.80e-03  1.08e-02    2.1e-06
  25000    1.66e-02  2.79e-02    6.51e-04  6.37e-04    1.01e-02  1.71e-02    1.6e-06
  26000    1.46e-02  2.20e-02    5.15e-04  5.72e-04    9.66e-03  1.45e-02    1.3e-06
  27000    1.38e-02  1.53e-02    2.68e-04  2.40e-04    9.80e-03  1.09e-02    9.8e-07
  28000    1.27e-02  1.62e-02    2.44e-04  2.27e-04    9.53e-03  1.22e-02    7.6e-07
  29000    1.25e-02  1.81e-02    6.58e-04  6.23e-04    9.75e-03  1.43e-02    5.9e-07
  30000    1.17e-02  1.93e-02    2.94e-04  3.07e-04    9.65e-03  1.60e-02    4.6e-07
  31000    1.12e-02  2.05e-02    4.42e-05  1.40e-04    9.60e-03  1.76e-02    3.5e-07
  32000    3.17e-02  3.39e-02    2.84e-04  3.56e-04    2.81e-02  3.00e-02    2.7e-07
  33000    1.06e-02  1.64e-02    1.70e-04  1.67e-04    9.59e-03  1.49e-02    2.1e-07
  34000    1.04e-02  1.54e-02    1.01e-04  1.68e-04    9.66e-03  1.43e-02    1.6e-07
  35000    2.97e-02  2.85e-02    2.84e-04  2.34e-04    2.80e-02  2.69e-02    1.3e-07
  36000    2.93e-02  2.58e-02    3.20e-04  2.44e-04    2.79e-02  2.46e-02    9.8e-08
  37000    1.00e-02  1.45e-02    7.88e-05  1.08e-04    9.65e-03  1.40e-02    7.6e-08
  38000    9.84e-03  1.31e-02    3.48e-05  8.25e-05    9.57e-03  1.27e-02    5.9e-08
  39000    9.74e-03  1.40e-02    4.07e-05  1.16e-04    9.53e-03  1.37e-02    4.5e-08
  40000    9.75e-03  1.30e-02    4.04e-05  7.43e-05    9.58e-03  1.28e-02    3.5e-08
