#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.170882e+00       4.533499e-01       8.718917e-01       3.515557e-02       6.767758e-03       1.583283e-02
          10       2.187296e+00       4.539907e-01       8.785453e-01       2.379763e-02       5.317739e-03       1.180838e-02
          20       2.206043e+00       4.308182e-01       8.877995e-01       3.590034e-02       8.132255e-03       1.815819e-02
          30       2.226777e+00       4.305993e-01       8.966902e-01       4.087752e-02       1.065299e-02       2.068149e-02
          40       2.247297e+00       4.709522e-01       9.032071e-01       1.573221e-02       5.896274e-03       9.623761e-03
          50       2.242098e+00       4.930894e-01       9.006373e-01       2.384043e-02       9.165821e-03       1.277933e-02
          60       2.229573e+00       4.739355e-01       8.966578e-01       1.616820e-02       6.339577e-03       9.682447e-03
          70       2.200015e+00       4.485776e-01       8.865183e-01       4.436386e-02       1.100476e-02       2.192597e-02
          80       2.186215e+00       4.710668e-01       8.801985e-01       2.584296e-02       9.177517e-03       1.439862e-02
          90       2.173941e+00       4.620929e-01       8.745746e-01       1.229005e-02       7.185799e-03       1.025380e-02
         100       2.179995e+00       4.511368e-01       8.774180e-01       1.841667e-02       4.462420e-03       1.040040e-02
         110       2.192719e+00       4.562583e-01       8.826554e-01       1.996267e-02       6.259782e-03       1.294161e-02
         120       2.211322e+00       4.683287e-01       8.893615e-01       2.100502e-02       6.491251e-03       1.388564e-02
         130       2.234605e+00       4.723524e-01       8.975047e-01       1.150453e-02       5.018765e-03       8.290125e-03
         140       2.239372e+00       4.687238e-01       8.989101e-01       1.705557e-02       3.808223e-03       9.568740e-03
         150       2.239376e+00       4.665076e-01       8.989363e-01       8.436485e-03       3.993367e-03       6.173222e-03
         160       2.219826e+00       4.709773e-01       8.907739e-01       1.621391e-02       5.471725e-03       1.059739e-02
         170       2.204610e+00       4.796495e-01       8.838769e-01       1.050667e-02       6.628472e-03       8.862225e-03
         180       2.185521e+00       4.788034e-01       8.758331e-01       1.202748e-02       4.430400e-03       8.247049e-03
         190       2.178717e+00       4.688989e-01       8.734169e-01       1.087408e-02       2.735941e-03       6.425299e-03
         200       2.181530e+00       4.674331e-01       8.747029e-01       8.981125e-03       4.695617e-03       6.294864e-03
         210       2.189007e+00       4.771779e-01       8.773574e-01       9.188399e-03       7.029226e-03       8.247260e-03
         220       2.210422e+00       4.848858e-01       8.857502e-01       7.728277e-03       5.850771e-03       6.882971e-03
         230       2.223939e+00       4.809372e-01       8.916991e-01       1.479665e-02       5.469337e-03       9.807576e-03
         240       2.243723e+00       4.704786e-01       9.003123e-01       7.812089e-03       4.017287e-03       5.973311e-03
         250       2.239299e+00       4.690116e-01       8.991312e-01       1.511080e-02       5.939044e-03       1.009859e-02
         260       2.225266e+00       4.809707e-01       8.947896e-01       1.459020e-02       8.904264e-03       1.189957e-02
         270       2.190998e+00       4.330465e-01       8.847219e-01       4.724653e-02       7.314470e-03       2.297039e-02
         280       2.171395e+00       4.233246e-01       8.787150e-01       5.522475e-02       8.672354e-03       2.564943e-02
         290       2.166612e+00       4.374174e-01       8.762699e-01       5.301030e-02       1.117070e-02       2.594303e-02
         300       2.174764e+00       4.353842e-01       8.796953e-01       6.127851e-02       1.269968e-02       3.085564e-02
         310       2.206467e+00       4.157128e-01       8.940517e-01       6.082037e-02       8.380833e-03       2.868852e-02
         320       2.223453e+00       4.109635e-01       9.007831e-01       6.225082e-02       8.168931e-03       2.900416e-02
         330       2.248204e+00       4.410266e-01       9.070356e-01       2.243814e-02       5.249594e-03       1.313667e-02
         340       2.235126e+00       4.614252e-01       8.992216e-01       3.388870e-02       8.978126e-03       1.735221e-02
         350       2.221262e+00       4.608331e-01       8.928210e-01       1.648358e-02       9.066008e-03       1.202629e-02
         360       2.191238e+00       4.628998e-01       8.807698e-01       1.734024e-02       9.593485e-03       1.338484e-02
         370       2.178485e+00       4.785267e-01       8.751354e-01       1.121857e-02       5.326591e-03       8.329976e-03
         380       2.174923e+00       4.945468e-01       8.726348e-01       1.770007e-02       5.827001e-03       9.942109e-03
         390       2.179741e+00       5.054327e-01       8.743620e-01       2.579974e-02       7.067265e-03       1.361281e-02
         400       2.199888e+00       4.873215e-01       8.833740e-01       1.068214e-02       5.703079e-03       7.958490e-03
         410       2.213390e+00       4.730524e-01       8.893192e-01       2.339711e-02       7.768670e-03       1.383179e-02
         420       2.239037e+00       4.862145e-01       8.990280e-01       9.228565e-03       4.277136e-03       6.638062e-03
         430       2.241319e+00       4.938897e-01       8.993748e-01       2.160243e-02       5.613362e-03       1.096287e-02
         440       2.238789e+00       4.751532e-01       8.991635e-01       8.873482e-03       5.923539e-03       7.387298e-03
         450       2.215788e+00       4.442755e-01       8.918453e-01       3.267056e-02       8.200346e-03       1.822522e-02
         460       2.196822e+00       4.402739e-01       8.843529e-01       3.181766e-02       7.944608e-03       1.745858e-02
         470       2.185603e+00       4.518060e-01       8.785383e-01       2.284968e-02       4.325262e-03       1.194600e-02
         480       2.176224e+00       4.458052e-01       8.752369e-01       2.998498e-02       6.778106e-03       1.534147e-02
         490       2.186246e+00       4.270152e-01       8.813941e-01       3.741336e-02       7.532781e-03       1.914131e-02
         500       2.195009e+00       4.185777e-01       8.861756e-01       3.950264e-02       1.014209e-02       2.226555e-02
         510       2.227225e+00       4.353966e-01       8.977166e-01       2.635320e-02       5.542165e-03       1.510222e-02
         520       2.242760e+00       4.510360e-01       9.024701e-01       2.299056e-02       7.368658e-03       1.270628e-02
         530       2.250520e+00       4.475006e-01       9.058684e-01       1.712002e-02       3.664418e-03       1.087404e-02
         540       2.232205e+00       4.341150e-01       9.002883e-01       4.147104e-02       1.140756e-02       2.296730e-02
         550       2.206631e+00       4.409404e-01       8.896018e-01       4.288081e-02       1.060064e-02       2.327424e-02
         560       2.187779e+00       4.578075e-01       8.802003e-01       1.932379e-02       7.430755e-03       1.127778e-02
         570       2.166320e+00       4.592002e-01       8.712429e-01       2.346000e-02       1.180419e-02       1.536030e-02
         580       2.170723e+00       4.579226e-01       8.737436e-01       2.384869e-02       7.678576e-03       1.398984e-02
         590       2.173236e+00       4.799464e-01       8.744273e-01       2.763438e-02       1.291587e-02       1.772803e-02
         600       2.208385e+00       4.871350e-01       8.872778e-01       1.326625e-02       5.483071e-03       8.342363e-03
         610       2.228763e+00       5.018593e-01       8.943168e-01       3.165646e-02       9.170788e-03       1.521320e-02
         620       2.246567e+00       4.865037e-01       9.023374e-01       1.412526e-02       4.473903e-03       8.168213e-03
         630       2.236624e+00       4.567533e-01       9.012010e-01       1.266133e-02       7.301215e-03       1.097416e-02
         640       2.210502e+00       4.412480e-01       8.924388e-01       2.692330e-02       1.084564e-02       1.769842e-02
         650       2.191277e+00       4.480091e-01       8.838306e-01       3.295065e-02       6.566761e-03       1.685222e-02
         660       2.169120e+00       4.481235e-01       8.744605e-01       2.805288e-02       8.071256e-03       1.493069e-02
         670       2.168307e+00       4.330992e-01       8.754235e-01       3.477308e-02       7.640095e-03       1.833498e-02
         680       2.170286e+00       4.237848e-01       8.776742e-01       5.080111e-02       8.678709e-03       2.587465e-02
         690       2.200496e+00       4.471335e-01       8.878388e-01       3.727227e-02       6.489750e-03       1.884631e-02
         700       2.225063e+00       4.763293e-01       8.951902e-01       1.796124e-02       7.676369e-03       1.051396e-02
         710       2.244614e+00       4.798507e-01       9.023730e-01       9.179558e-03       4.744838e-03       6.661832e-03
         720       2.245395e+00       4.620243e-01       9.035346e-01       2.411345e-02       6.936856e-03       1.263578e-02
         730       2.229724e+00       4.631905e-01       8.968580e-01       2.246479e-02       6.266018e-03       1.328984e-02
         740       2.215790e+00       4.869711e-01       8.896278e-01       9.119870e-03       4.891469e-03       6.814520e-03
         750       2.193731e+00       4.932572e-01       8.799530e-01       1.674063e-02       5.716626e-03       8.964840e-03
         760       2.182988e+00       4.746501e-01       8.762054e-01       9.148839e-03       5.204184e-03       7.091253e-03
         770       2.173238e+00       4.592292e-01       8.730844e-01       1.667987e-02       6.208057e-03       9.694879e-03
         780       2.183806e+00       4.775471e-01       8.766208e-01       7.254627e-03       5.731640e-03       6.612021e-03
         790       2.201926e+00       5.006419e-01       8.826963e-01       1.174930e-02       5.238645e-03       7.558482e-03
         800       2.224775e+00       5.082345e-01       8.915133e-01       1.635338e-02       5.407326e-03       8.802491e-03
         810       2.243966e+00       5.059993e-01       8.994649e-01       8.301337e-03       3.927556e-03       6.122864e-03
         820       2.240364e+00       5.114213e-01       8.975264e-01       1.757815e-02       4.749144e-03       1.080343e-02
         830       2.229755e+00       5.138101e-01       8.927906e-01       9.557236e-03       3.969853e-03       7.076005e-03
         840       2.192610e+00       4.597954e-01       8.801228e-01       2.660578e-02       9.025101e-03       1.471393e-02
         850       2.177154e+00       4.403112e-01       8.755789e-01       3.130673e-02       6.715335e-03       1.595911e-02
         860       2.165137e+00       4.341663e-01       8.720334e-01       5.578582e-02       1.204638e-02       2.619755e-02
         870       2.179600e+00       4.119575e-01       8.816828e-01       7.552344e-02       1.188669e-02       3.586385e-02
         880       2.199049e+00       3.891011e-01       8.948801e-01       1.080081e-01       1.640081e-02       5.108174e-02
         890       2.233760e+00       3.932170e-01       9.073252e-01       9.413798e-02       1.252532e-02       4.352175e-02
         900       2.265225e+00       4.254703e-01       9.143628e-01       3.861847e-02       8.412184e-03       2.046170e-02
         910       2.261884e+00       4.435840e-01       9.109759e-01       4.209857e-02       7.885770e-03       2.133564e-02
         920       2.244037e+00       4.372770e-01       9.038716e-01       2.836687e-02       6.951112e-03       1.505281e-02
         930       2.198651e+00       4.340435e-01       8.851739e-01       3.092712e-02       6.166031e-03       1.776478e-02
         940       2.176214e+00       4.534297e-01       8.746870e-01       1.911495e-02       7.404632e-03       1.191916e-02
         950       2.156268e+00       4.711591e-01       8.667571e-01       2.068809e-02       6.816081e-03       1.289108e-02
         960       2.168986e+00       4.781350e-01       8.713267e-01       1.176333e-02       6.169312e-03       9.285543e-03
         970       2.190056e+00       4.897535e-01       8.786780e-01       1.421124e-02       6.186638e-03       9.534986e-03
         980       2.217657e+00       5.110270e-01       8.891673e-01       1.519576e-02       3.885530e-03       8.592095e-03
         990       2.242484e+00       4.740953e-01       8.999654e-01       1.109215e-02       6.201079e-03       8.236466e-03
        1000       2.250868e+00       4.574209e-01       9.039704e-01       2.496437e-02       8.814511e-03       1.379875e-02
