#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.167766e+00       5.241516e-01       8.673238e-01       8.219572e-03       1.997384e-03       4.235073e-03
          10       2.176541e+00       5.344067e-01       8.706687e-01       1.296254e-02       5.020197e-03       7.135318e-03
          20       2.201507e+00       5.353688e-01       8.807645e-01       1.015806e-02       3.583150e-03       5.497638e-03
          30       2.227399e+00       5.096622e-01       8.914096e-01       9.733124e-03       5.886482e-03       7.441360e-03
          40       2.248414e+00       5.137655e-01       8.998008e-01       1.584770e-02       4.713923e-03       9.355529e-03
          50       2.256734e+00       5.411251e-01       9.029287e-01       9.519926e-03       3.169246e-03       6.136379e-03
          60       2.234560e+00       5.300393e-01       8.942175e-01       1.184228e-02       5.676979e-03       7.391400e-03
          70       2.205937e+00       4.780255e-01       8.839435e-01       9.846105e-03       3.682908e-03       7.052692e-03
          80       2.168857e+00       4.394535e-01       8.709592e-01       3.139917e-02       3.381863e-03       1.444540e-02
          90       2.155263e+00       4.515073e-01       8.648679e-01       1.552787e-02       6.363084e-03       1.027230e-02
         100       2.149426e+00       4.621296e-01       8.622484e-01       4.355702e-02       9.904330e-03       2.016554e-02
         110       2.173665e+00       4.443573e-01       8.734917e-01       2.415712e-02       3.279288e-03       1.401541e-02
         120       2.206315e+00       4.121681e-01       8.899602e-01       5.993780e-02       7.166928e-03       2.750684e-02
         130       2.247384e+00       4.202291e-01       9.060691e-01       4.515191e-02       1.268286e-02       2.462931e-02
         140       2.272491e+00       4.546492e-01       9.136434e-01       2.829985e-02       8.003486e-03       1.617835e-02
         150       2.251017e+00       4.533229e-01       9.048957e-01       3.518426e-02       8.730951e-03       1.777350e-02
         160       2.213601e+00       4.233274e-01       8.918869e-01       3.863212e-02       7.049546e-03       1.939665e-02
         170       2.176403e+00       4.189020e-01       8.770581e-01       5.162108e-02       5.563963e-03       2.370526e-02
         180       2.170105e+00       4.495988e-01       8.718574e-01       1.991021e-02       3.623203e-03       1.055889e-02
         190       2.167538e+00       4.685096e-01       8.693676e-01       2.976828e-02       8.820495e-03       1.439985e-02
         200       2.184603e+00       4.613531e-01       8.764327e-01       1.331110e-02       4.516733e-03       8.333310e-03
         210       2.203907e+00       4.447945e-01       8.851876e-01       2.374705e-02       5.569792e-03       1.210339e-02
         220       2.229156e+00       4.615560e-01       8.945253e-01       1.602927e-02       3.716299e-03       9.935661e-03
         230       2.252748e+00       4.963771e-01       9.027628e-01       8.781971e-03       4.456306e-03       6.446590e-03
         240       2.255774e+00       5.009243e-01       9.036837e-01       1.709200e-02       4.302297e-03       8.217748e-03
         250       2.241783e+00       4.704983e-01       8.989658e-01       8.861901e-03       5.209197e-03       7.400579e-03
         260       2.210717e+00       4.515743e-01       8.874559e-01       2.300986e-02       7.233204e-03       1.277010e-02
         270       2.189230e+00       4.742198e-01       8.779051e-01       9.023322e-03       2.199109e-03       5.686977e-03
         280       2.167285e+00       4.910644e-01       8.683094e-01       2.427260e-02       8.425363e-03       1.218556e-02
         290       2.165814e+00       4.787017e-01       8.679043e-01       1.560703e-02       5.625306e-03       8.595773e-03
         300       2.171534e+00       4.495216e-01       8.714802e-01       2.985342e-02       6.516042e-03       1.346367e-02
         310       2.195853e+00       4.665727e-01       8.806250e-01       1.587897e-02       3.487949e-03       8.799453e-03
         320       2.233254e+00       5.310942e-01       8.942243e-01       9.484460e-03       4.738449e-03       7.176519e-03
         330       2.255340e+00       5.326399e-01       9.026318e-01       2.160066e-02       3.549599e-03       1.014557e-02
         340       2.257924e+00       5.376063e-01       9.037082e-01       1.346494e-02       5.751419e-03       8.022988e-03
         350       2.222666e+00       5.238479e-01       8.900531e-01       2.849446e-02       7.381852e-03       1.634143e-02
         360       2.194717e+00       5.028413e-01       8.792451e-01       7.722582e-03       4.782602e-03       6.301475e-03
         370       2.157105e+00       4.699560e-01       8.647967e-01       2.539856e-02       8.322287e-03       1.426713e-02
         380       2.153386e+00       4.635891e-01       8.634495e-01       1.729415e-02       3.481825e-03       8.603539e-03
         390       2.155260e+00       4.788547e-01       8.636588e-01       2.327627e-02       8.941857e-03       1.335535e-02
         400       2.182159e+00       4.950050e-01       8.742741e-01       2.142560e-02       5.994768e-03       1.022503e-02
         410       2.215191e+00       4.951947e-01       8.881627e-01       1.014933e-02       5.665283e-03       7.745273e-03
         420       2.237391e+00       4.834261e-01       8.973604e-01       1.910622e-02       6.203814e-03       1.069987e-02
         430       2.252754e+00       4.835727e-01       9.032592e-01       8.404528e-03       3.303563e-03       5.317531e-03
         440       2.242120e+00       5.000409e-01       8.983773e-01       2.324114e-02       7.271044e-03       1.109288e-02
         450       2.227905e+00       5.071464e-01       8.927750e-01       9.233704e-03       3.714289e-03       6.411564e-03
         460       2.201771e+00       4.931302e-01       8.828715e-01       1.107963e-02       4.564088e-03       6.926759e-03
         470       2.186096e+00       4.737360e-01       8.768228e-01       1.124732e-02       2.121880e-03       6.130805e-03
         480       2.174944e+00       4.725944e-01       8.719554e-01       9.246604e-03       2.859837e-03       6.361829e-03
         490       2.176944e+00       4.897460e-01       8.722454e-01       1.723561e-02       5.504164e-03       8.445829e-03
         500       2.191074e+00       5.001578e-01       8.781334e-01       6.724887e-03       5.171750e-03       5.946134e-03
         510       2.207980e+00       4.904657e-01       8.855057e-01       1.466143e-02       5.640783e-03       9.582473e-03
         520       2.236795e+00       4.743922e-01       8.974887e-01       8.851569e-03       4.451108e-03       6.829180e-03
         530       2.247168e+00       4.805149e-01       9.013352e-01       1.870790e-02       6.045018e-03       9.981871e-03
         540       2.252039e+00       4.991357e-01       9.031661e-01       1.534072e-02       4.154549e-03       7.974149e-03
         550       2.230308e+00       4.931684e-01       8.952963e-01       1.534913e-02       3.771123e-03       8.330905e-03
         560       2.203500e+00       4.641729e-01       8.856420e-01       1.682142e-02       4.220227e-03       1.081788e-02
         570       2.175893e+00       4.442393e-01       8.751660e-01       2.366834e-02       6.219143e-03       1.273824e-02
         580       2.160778e+00       4.545955e-01       8.682919e-01       2.691082e-02       1.119887e-02       1.578497e-02
         590       2.164787e+00       4.710043e-01       8.696629e-01       1.724729e-02       6.320338e-03       9.971314e-03
         600       2.175427e+00       4.695367e-01       8.746771e-01       2.034814e-02       8.596707e-03       1.388303e-02
         610       2.212029e+00       4.562079e-01       8.899685e-01       1.675012e-02       4.851164e-03       1.081459e-02
         620       2.235625e+00       4.573421e-01       8.989914e-01       2.599601e-02       4.717369e-03       1.385161e-02
         630       2.257175e+00       4.781723e-01       9.066912e-01       1.522749e-02       3.979204e-03       8.155181e-03
         640       2.244069e+00       4.831579e-01       9.015981e-01       2.635232e-02       3.939221e-03       1.358060e-02
         650       2.221811e+00       4.708497e-01       8.931678e-01       1.927119e-02       2.845391e-03       1.108903e-02
         660       2.191195e+00       4.623320e-01       8.809887e-01       1.160045e-02       6.827757e-03       9.735225e-03
         670       2.169829e+00       4.624936e-01       8.715878e-01       1.753970e-02       6.926618e-03       1.174322e-02
         680       2.163112e+00       4.650919e-01       8.686041e-01       1.094587e-02       6.386462e-03       8.174639e-03
         690       2.164700e+00       4.697209e-01       8.695281e-01       2.127523e-02       5.069819e-03       1.249961e-02
         700       2.191148e+00       4.793057e-01       8.800826e-01       1.032482e-02       3.423657e-03       7.102192e-03
         710       2.214823e+00       4.871574e-01       8.890263e-01       1.679714e-02       6.238335e-03       1.066600e-02
         720       2.246765e+00       4.904429e-01       9.011558e-01       1.232118e-02       3.639326e-03       6.956218e-03
         730       2.249653e+00       4.857345e-01       9.022998e-01       1.646684e-02       6.323629e-03       9.340191e-03
         740       2.241787e+00       4.963459e-01       8.989730e-01       1.383808e-02       5.108951e-03       7.925148e-03
         750       2.219118e+00       4.950342e-01       8.896151e-01       9.520914e-03       5.421955e-03       7.403565e-03
         760       2.196465e+00       5.038837e-01       8.800318e-01       1.182396e-02       3.432045e-03       7.238144e-03
         770       2.183483e+00       4.835246e-01       8.749065e-01       7.799137e-03       3.032033e-03       5.859415e-03
         780       2.174619e+00       4.827337e-01       8.714102e-01       6.088027e-03       3.081005e-03       4.243285e-03
         790       2.183692e+00       5.060271e-01       8.747463e-01       4.149881e-03       2.760085e-03       3.225699e-03
         800       2.196335e+00       5.051258e-01       8.796079e-01       6.519245e-03       3.798674e-03       5.108641e-03
         810       2.218723e+00       5.111223e-01       8.884728e-01       9.512871e-03       3.226159e-03       5.787742e-03
         820       2.233819e+00       4.946965e-01       8.948402e-01       8.134342e-03       4.332753e-03       5.858980e-03
         830       2.243472e+00       5.051757e-01       8.986628e-01       7.632869e-03       4.430398e-03       5.847640e-03
         840       2.244051e+00       5.263595e-01       8.986213e-01       8.118505e-03       3.436364e-03       5.727308e-03
         850       2.231843e+00       5.239858e-01       8.936337e-01       8.280795e-03       3.700852e-03       6.106855e-03
         860       2.214354e+00       4.937689e-01       8.870434e-01       8.881104e-03       3.387185e-03       5.681121e-03
         870       2.187613e+00       4.712878e-01       8.770399e-01       1.674846e-02       4.589140e-03       8.808215e-03
         880       2.173904e+00       4.914502e-01       8.711945e-01       5.735611e-03       2.416094e-03       4.000112e-03
         890       2.165687e+00       5.099724e-01       8.674240e-01       1.976287e-02       7.197170e-03       1.097244e-02
         900       2.179716e+00       5.023845e-01       8.730794e-01       1.182024e-02       3.105653e-03       6.501270e-03
