#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.167766e+00       5.241516e-01       8.673238e-01       8.219572e-03       1.997384e-03       4.235073e-03
          10       2.160482e+00       5.199807e-01       8.645205e-01       1.294198e-02       4.728191e-03       7.933840e-03
          20       2.172926e+00       5.279568e-01       8.693614e-01       9.840077e-03       6.679015e-03       8.295740e-03
          30       2.190089e+00       5.407857e-01       8.761705e-01       1.625833e-02       6.896498e-03       1.017814e-02
          40       2.223668e+00       5.451003e-01       8.896380e-01       6.038547e-03       2.766449e-03       4.646134e-03
          50       2.243193e+00       5.399862e-01       8.975594e-01       1.920315e-02       5.507267e-03       9.137872e-03
          60       2.264155e+00       5.520934e-01       9.058924e-01       6.854045e-03       5.029409e-03       5.559797e-03
          70       2.257347e+00       5.606670e-01       9.030753e-01       1.706515e-02       5.650353e-03       9.921627e-03
          80       2.240396e+00       5.562837e-01       8.962829e-01       1.046470e-02       5.699950e-03       7.506763e-03
          90       2.209300e+00       5.322510e-01       8.840211e-01       8.653171e-03       3.910753e-03       5.640344e-03
         100       2.177809e+00       5.174672e-01       8.714821e-01       1.174481e-02       3.013328e-03       6.037214e-03
         110       2.163881e+00       5.329280e-01       8.656815e-01       7.292440e-03       3.719537e-03       6.286102e-03
         120       2.155867e+00       5.273571e-01       8.624815e-01       1.509588e-02       8.018622e-03       1.031979e-02
         130       2.175467e+00       5.263502e-01       8.704670e-01       7.465064e-03       3.988045e-03       6.225574e-03
         140       2.194927e+00       5.124838e-01       8.784671e-01       1.335328e-02       4.998555e-03       7.132736e-03
         150       2.232150e+00       5.285562e-01       8.931790e-01       6.504937e-03       4.096925e-03       4.912997e-03
         160       2.257909e+00       5.473897e-01       9.033174e-01       9.886551e-03       5.866547e-03       7.819329e-03
         170       2.266564e+00       5.396296e-01       9.068796e-01       9.855688e-03       6.833284e-03       8.424710e-03
         180       2.254775e+00       5.375084e-01       9.022295e-01       7.902909e-03       3.712735e-03       5.841307e-03
         190       2.224069e+00       5.211764e-01       8.899124e-01       1.255333e-02       6.117036e-03       7.732750e-03
         200       2.200836e+00       5.416962e-01       8.804543e-01       4.326826e-03       1.126815e-03       3.389734e-03
         210       2.173454e+00       5.177714e-01       8.696252e-01       1.364226e-02       5.229430e-03       9.209655e-03
         220       2.168137e+00       5.229087e-01       8.675604e-01       8.444967e-03       5.909116e-03       6.969830e-03
         230       2.169575e+00       5.051237e-01       8.682435e-01       1.223535e-02       4.748988e-03       7.546085e-03
         240       2.187312e+00       5.172920e-01       8.751921e-01       5.162116e-03       3.035345e-03       4.169875e-03
         250       2.214759e+00       5.355799e-01       8.861129e-01       5.854582e-03       3.992733e-03       4.679328e-03
         260       2.237199e+00       5.337748e-01       8.951481e-01       1.077800e-02       4.761650e-03       7.058632e-03
         270       2.256701e+00       5.398075e-01       9.029641e-01       7.138179e-03       1.858558e-03       5.495899e-03
         280       2.256012e+00       5.322328e-01       9.026324e-01       7.744266e-03       3.036391e-03       5.054686e-03
         290       2.248672e+00       5.462331e-01       8.996254e-01       4.996008e-03       2.926652e-03       4.364164e-03
         300       2.223842e+00       5.387228e-01       8.897857e-01       7.631765e-03       6.137043e-03       6.742363e-03
         310       2.199555e+00       5.326269e-01       8.801451e-01       7.867449e-03       5.548175e-03       6.940409e-03
         320       2.175537e+00       5.111830e-01       8.706370e-01       8.707859e-03       5.971447e-03       7.207193e-03
         330       2.157327e+00       5.131781e-01       8.633507e-01       1.362828e-02       4.881202e-03       8.523709e-03
         340       2.163495e+00       5.171928e-01       8.657929e-01       5.069754e-03       3.468517e-03       4.504559e-03
         350       2.178236e+00       5.236901e-01       8.718088e-01       1.856162e-02       7.281082e-03       1.100343e-02
         360       2.217227e+00       5.150566e-01       8.875316e-01       1.240122e-02       6.909575e-03       9.553539e-03
         370       2.244285e+00       5.323048e-01       8.981570e-01       1.913328e-02       3.994922e-03       1.019517e-02
         380       2.267012e+00       5.381182e-01       9.071206e-01       7.514639e-03       4.141837e-03       5.266954e-03
         390       2.262032e+00       5.447152e-01       9.051414e-01       1.177274e-02       5.890014e-03       8.083458e-03
         400       2.238594e+00       5.205290e-01       8.958821e-01       8.975769e-03       6.925205e-03       8.056405e-03
         410       2.209201e+00       5.254933e-01       8.841174e-01       8.179438e-03       4.374163e-03       6.067030e-03
         420       2.177560e+00       5.044849e-01       8.715037e-01       1.085259e-02       4.910656e-03       6.957638e-03
         430       2.164932e+00       5.239397e-01       8.662296e-01       7.436146e-03       4.069933e-03       6.180810e-03
         440       2.161920e+00       5.095183e-01       8.650828e-01       1.064278e-02       4.640561e-03       7.844302e-03
         450       2.177474e+00       5.073193e-01       8.715230e-01       1.192284e-02       4.852826e-03       8.170537e-03
         460       2.201548e+00       5.122655e-01       8.811151e-01       9.871141e-03       5.310757e-03       7.237409e-03
         470       2.230212e+00       5.260767e-01       8.923378e-01       8.078105e-03       3.970728e-03       5.783591e-03
         480       2.254370e+00       5.528526e-01       9.018939e-01       5.907226e-03       4.019036e-03       4.873816e-03
         490       2.261069e+00       5.350256e-01       9.046919e-01       7.737812e-03       4.714816e-03       6.362662e-03
         500       2.254434e+00       5.403216e-01       9.020888e-01       1.061266e-02       4.262182e-03       6.855179e-03
         510       2.230857e+00       5.246153e-01       8.926631e-01       7.466274e-03       5.689046e-03       6.607098e-03
         520       2.203835e+00       5.349926e-01       8.816925e-01       7.523589e-03       4.627149e-03       6.137638e-03
         530       2.179139e+00       5.286245e-01       8.718964e-01       7.073925e-03       5.204974e-03       6.260505e-03
         540       2.162772e+00       5.138430e-01       8.655694e-01       1.198626e-02       5.821682e-03       8.504284e-03
         550       2.165107e+00       5.098981e-01       8.664993e-01       9.313091e-03       6.018872e-03       7.382761e-03
         560       2.179296e+00       5.241990e-01       8.719520e-01       1.092803e-02       3.870055e-03       5.649313e-03
         570       2.208466e+00       5.391389e-01       8.835161e-01       5.968207e-03       3.606371e-03       4.614466e-03
         580       2.236664e+00       5.368795e-01       8.949585e-01       1.380415e-02       6.505257e-03       9.565645e-03
         590       2.260222e+00       5.368667e-01       9.044032e-01       1.422537e-02       4.965320e-03       8.495810e-03
         600       2.264338e+00       5.522410e-01       9.059213e-01       7.658966e-03       4.608827e-03       5.985881e-03
         610       2.247385e+00       5.572280e-01       8.990578e-01       1.342050e-02       3.678698e-03       7.316622e-03
         620       2.221125e+00       5.310743e-01       8.887230e-01       7.511280e-03       4.915828e-03       6.467812e-03
         630       2.179631e+00       4.975911e-01       8.724779e-01       2.376303e-02       7.964203e-03       1.399060e-02
         640       2.156423e+00       5.126035e-01       8.629821e-01       1.409405e-02       9.988774e-03       1.192924e-02
         650       2.139766e+00       5.208847e-01       8.559907e-01       1.852243e-02       7.106160e-03       1.130118e-02
         660       2.159673e+00       5.203858e-01       8.640783e-01       7.546764e-03       2.552484e-03       6.314656e-03
         670       2.184046e+00       4.942646e-01       8.742317e-01       2.396597e-02       4.800087e-03       1.225920e-02
         680       2.227652e+00       5.241745e-01       8.913102e-01       8.372363e-03       4.823604e-03       6.828068e-03
         690       2.253611e+00       5.538720e-01       9.015254e-01       1.055550e-02       4.165477e-03       6.773859e-03
         700       2.261959e+00       5.486760e-01       9.048739e-01       1.056144e-02       3.651956e-03       6.118295e-03
         710       2.255007e+00       5.395996e-01       9.021519e-01       5.171744e-03       3.952158e-03       4.658499e-03
         720       2.231108e+00       5.272147e-01       8.926483e-01       1.071888e-02       5.000979e-03       8.055276e-03
         730       2.209813e+00       5.403883e-01       8.840469e-01       7.800759e-03       2.966460e-03       6.616332e-03
         740       2.180950e+00       5.223936e-01       8.725728e-01       1.335254e-02       5.146700e-03       7.655607e-03
