# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    6.66e+01  7.12e+01    1.02e+01  1.02e+01    2.10e+00  2.25e+00    1.0e-03
   1000    2.94e+00  3.60e+00    1.59e-02  1.73e-02    1.06e-01  1.29e-01    7.7e-04
   2000    1.78e+00  1.84e+00    3.26e-02  3.27e-02    7.26e-02  7.51e-02    6.0e-04
   3000    1.49e+00  1.30e+00    4.66e-03  4.53e-03    6.90e-02  6.02e-02    4.6e-04
   4000    1.25e+00  1.40e+00    1.13e-01  1.14e-01    6.41e-02  7.24e-02    3.6e-04
   5000    9.15e-01  9.90e-01    7.03e-02  7.03e-02    5.37e-02  5.83e-02    2.8e-04
   6000    6.20e-01  7.16e-01    1.72e-02  1.69e-02    4.21e-02  4.87e-02    2.1e-04
   7000    4.54e-01  4.95e-01    2.05e-02  2.07e-02    3.48e-02  3.80e-02    1.7e-04
   8000    4.81e-01  5.15e-01    3.37e-03  3.87e-03    4.23e-02  4.53e-02    1.3e-04
   9000    3.68e-01  4.16e-01    4.30e-03  4.33e-03    3.67e-02  4.16e-02    9.9e-05
  10000    2.28e-01  2.61e-01    3.06e-03  2.92e-03    2.58e-02  2.95e-02    7.7e-05
  11000    1.34e-01  1.52e-01    3.30e-03  3.44e-03    1.72e-02  1.94e-02    6.0e-05
  12000    1.13e-01  9.69e-02    5.06e-03  5.09e-03    1.63e-02  1.39e-02    4.6e-05
  13000    2.12e-01  3.02e-01    6.18e-03  6.53e-03    3.49e-02  4.98e-02    3.6e-05
  14000    9.29e-02  9.63e-02    1.81e-03  1.96e-03    1.74e-02  1.80e-02    2.8e-05
  15000    7.07e-02  8.25e-02    2.17e-03  2.17e-03    1.49e-02  1.74e-02    2.1e-05
  16000    6.06e-02  6.03e-02    3.24e-03  3.24e-03    1.43e-02  1.42e-02    1.7e-05
  17000    1.21e-01  1.63e-01    2.85e-03  3.22e-03    3.26e-02  4.40e-02    1.3e-05
  18000    4.71e-02  5.70e-02    9.09e-04  8.72e-04    1.42e-02  1.73e-02    9.9e-06
  19000    4.11e-02  4.85e-02    1.30e-03  1.34e-03    1.39e-02  1.64e-02    7.7e-06
  20000    3.76e-02  4.32e-02    1.52e-03  1.55e-03    1.42e-02  1.63e-02    5.9e-06
  21000    3.26e-02  4.26e-02    3.44e-04  4.12e-04    1.38e-02  1.80e-02    4.6e-06
  22000    2.93e-02  3.67e-02    2.99e-04  4.01e-04    1.37e-02  1.72e-02    3.5e-06
  23000    2.69e-02  3.05e-02    7.17e-04  8.12e-04    1.39e-02  1.57e-02    2.7e-06
  24000    2.48e-02  2.81e-02    1.37e-03  1.40e-03    1.38e-02  1.57e-02    2.1e-06
  25000    2.24e-02  2.47e-02    6.09e-04  5.46e-04    1.38e-02  1.51e-02    1.6e-06
  26000    2.05e-02  1.65e-02    1.35e-04  1.42e-04    1.36e-02  1.09e-02    1.3e-06
  27000    1.94e-02  1.92e-02    5.00e-04  4.94e-04    1.38e-02  1.36e-02    9.8e-07
  28000    1.82e-02  2.13e-02    7.65e-05  1.51e-04    1.37e-02  1.60e-02    7.6e-07
  29000    1.72e-02  2.08e-02    5.95e-05  1.33e-04    1.36e-02  1.65e-02    5.9e-07
  30000    1.66e-02  1.31e-02    1.71e-04  2.16e-04    1.37e-02  1.09e-02    4.6e-07
  31000    1.59e-02  1.81e-02    2.67e-04  2.33e-04    1.36e-02  1.56e-02    3.5e-07
  32000    1.53e-02  1.60e-02    2.22e-04  2.66e-04    1.35e-02  1.42e-02    2.7e-07
  33000    1.49e-02  1.34e-02    2.14e-04  2.18e-04    1.35e-02  1.22e-02    2.1e-07
  34000    1.46e-02  1.54e-02    2.03e-04  2.05e-04    1.36e-02  1.43e-02    1.6e-07
  35000    1.44e-02  1.55e-02    1.33e-04  1.58e-04    1.36e-02  1.46e-02    1.3e-07
  36000    1.43e-02  1.70e-02    2.07e-05  9.17e-05    1.36e-02  1.62e-02    9.8e-08
  37000    1.41e-02  1.63e-02    7.08e-05  1.59e-04    1.36e-02  1.57e-02    7.6e-08
  38000    1.40e-02  1.66e-02    8.35e-05  7.98e-05    1.36e-02  1.61e-02    5.9e-08
  39000    1.77e-02  2.56e-02    1.92e-04  2.88e-04    1.73e-02  2.50e-02    4.5e-08
  40000    1.38e-02  1.57e-02    3.31e-05  1.10e-04    1.36e-02  1.54e-02    3.5e-08
